#id	Piratapuyo	Barasano	Desano	Koreguahe	Siona	Kubeo	Sekoya	Wanano	Tanimuka	Tuyuka	Tukano	Maihiki	Karapan	Kueretu	Yupua	Prototucanoan
52-grandfather-19	?	ɲ ĩ k ɨ̃	ɲ ẽ k ɨ̃	j ẽ k u ɨ	?	ɲ ẽ k ũ j o	?	ɲ ɨ̃ tʃ ɨ̃	?	ɲ ẽ k ɨ̃	ɲ ẽ k ɨ̃	j ẽ k ɨ	ɲ ĩ k ɨ̃	?	?	j ẽ kː u
73-land-20	?	j e b a	j e b a	j e h a	j i h a	j i b a	j e h a	j a ˀp a	?	?	j e ˀp a	j i h a	j e p a	?	?	j e pˀ a
84-mouth2-21	?	?	?	j i ʔ o b o	j i ʔ o b o	?	j ɨ ʔ o	?	?	?	?	j o	?	?	?	j ɨ ʔ o
69-kapok-22	?	j ɨ t a	j u d a	?	j ɨ i	j ɨ i	j ɨ i	j u t a	j u ˀt a	?	j u t a	?	j i t a	j ʔ o t a h e	?	j ɨ i
69-kapok-147	?	?	?	o j a	?	?	?	?	?	?	?	?	?	?	?	?
75-leg-23	?	ɲ ĩ k ã	ɲ ĩ ŋ ã	j ũ k a	?	ɲ ɨ̃ ã	n ɨ̃ k a	ɲ ɨ̃ tʃ ɨ̃	ɲ ĩ k ã	ɲ ĩ k ã	ɲ ẽ k ã	?	ɲ ĩ k ã	?	?	j ɨ̃ k a
64-i-24	?	j ɨ ɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	j ɨ ɨ	j ɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	j i ʔ i	j ɨ ɨ	j ɨ ʔ ɨ	j i	j ɨ ɨ	j e h ɨ	?	j ɨ ʔ ɨ
33-ear-25	?	ŋ ã m õ	ŋ ã m ĩ	k ã h o	kˀ ã h o	k ã m ũ	k ã h o	k ã ˀm õ	ã m ũ	k ã m õ	õ ˀm ẽ	ŋ ã h o	ã m õ	kʲ ã ũ	?	kˀ ã pˀ o
48-foot-26	?	ɡ ɨ b o	ɡ u ˀb u	k ũ ʔ ã	kˀ ɨ̃ õ	k ɨ b o	k ɨ̃ õ	d a ˀp o	ũ ˀp ũ	d ɨ p o	d ɨ ˀp o	ŋ ɨ̃ õ	ɾ ɨ p o	k o h u	?	kˀ ɨ pˀ o
38-excrement-27	k ɨ ˀt a	ɡ ɨ d a	ɡ ɨ d a	k ɨ t a	kˀ ɨ t a	k ɨ d a	ɨ̃ t a	t ã	i t a	k ɨ̃ n ã	ɨ ˀt a	ɨ̃ t a	ɡ ɨ t a	ɨ t a	?	kˀ ɨ tˀ a
127-tortoise-28	?	ɡ u u	ɡ u i	k o ɨ	kˀ o ɨ	k ũ ɨ̃	k o u	k u	o ʔ i	k u u	u h u d i	?	u u	k a ɨ	?	kˀ o ɨ
131-urinate-29	?	ŋ õ n ẽ	ŋ õ n ẽ	õ n e	kˀ õ n e	k õ n ẽ	k õ n e	kʰ ũ n ũ	?	k õ n ẽ	õ ˀn ẽ	ɡ o n e	õ n ẽ	?	?	kˀ o n e
60-hole-30	?	ɡ o h e	ɡ o b e	k o h e	kˀ o h e	k o b e	k o h e	k o p e	k o ɸ e	k o p e	k o p e	ɡ o h e	o p e	ɡ o h e	?	kˀ o p e
126-tooth-31	?	ɡ u h i	?	kʰ õ h ĩ	kˀ ũ h ĩ	k õ p ĩ	k õ ˀh ĩ	p i d i a k a	o ɸ i	u p i	u p i	ŋ ũ h i	o p i	k o h i	?	kˀ õ p i
13-bone-32	?	ŋ õ ã	ŋ õ ã	?	kˀ õ ʔ a	k ũ ã	?	kʰ õ ʔ ã	ũ ʔ ã	k õ ã	õ ʔ ã	?	õ ʔ ã	k o a	?	kˀ õ ʔ ã
47-flower-33	?	ɡ o d o	ɡ o	k o ɾ o	k o d o	k o w ɨ	h o d o	k o ʔ o	õ ʔ õ	k o o	o ʔ o	?	?	t e k o	?	kˀ o ʔ o
106-sleep-34	?	k ã n ĩ	k ã n ĩ	k ã	k ã	k ã	k ã	kʰ ã n ĩ	k ã ɾ ĩ	k ã n ĩ	k ã n ĩ	k ã	k ã n ĩ	?	?	k ã
36-elevatedstructureshelvesroofetc-35	?	k a tʃ a	k a j a	kʰ a j a	?	k a j a	?	k a s a	?	?	k a s a	?	k a j a	?	?	k a j a
79-manioc-36	?	k ĩ ĩ	k ĩ ĩ	kʰ ɨ i	k ɨ i	k ɨ i	?	kʰ ɨ ɨ	k i	?	k i i	k ɨ i	k i i	k ɨ	?	k ɨ i
140-woodpecker-37	?	k õ n ẽ	k õ n ẽ	kʰ õ n e	k o n e	k õ n ẽ	k õ n e	kʰ õ n ẽ	?	?	k õ n ẽ	k o n e	k õ n ẽ	?	?	k o n e
119-tobite-38	?	k ũ n ĩ	k ũ n ĩ	kʰ ũ ʔ i	k ũ ʔ i	k ũ	k õ k ɨ	?	k u ˀk u	?	k ũ ˀn ĩ	k ũ i	?	?	k ũ ɾ ĩ	k ũ
119-tobite-142	?	?	?	?	?	?	?	?	?	b a k a	?	?	?	?	?	?
17-capybara-39	?	?	?	kʷ ẽ s o	kʷˀ e s o	?	kʷ e s o	?	k e h u	?	?	?	?	k e t u	?	kʷ e tʲ u
