#id	Piratapuyo	Barasano	Desano	Koreguahe	Siona	Kubeo	Sekoya	Wanano	Tanimuka	Tuyuka	Tukano	Maihiki	Karapan	Kueretu	Yupua	Prototucanoan
136-white-69	?	b o t i	b o d e	p o	pˀ o	b o	pˀ o	b o ˀt a	b o i	b u t i	b u t i	b o	b o t i	p o	?	pˀ o
122-toadsp-70	?	m o m o	m o m a	h o h o	?	p o p o	h o h o	w a ˀm u	?	?	m o ˀm o	?	?	?	?	pˀ o p a
14-break-71	?	b o h e	b o h e	h ũ h e	?	p o p e	h o ʔ a	p o ʔ a	?	p a a	b o p e	h o a	?	?	?	pˀ o p e
132-urucumachiote-72	?	m ũ tʃ ã	m ũ s ã	p ũ s a	pˀ õ s a	m ũ h ã	pˀ õ s a	?	m ũ h ã	?	m õ s ã	b o s a	m ũ s ã	m u hʲ a	?	pˀ õ s a
132-urucumachiote-148	?	?	?	?	?	?	?	m ã s ĩ + s õ a	?	?	?	?	?	?	?	?
4-aracufish-73	?	b o d e k a	b o d e k a	?	?	b o d i k a	?	b o ˀt e a	b o t a k a	?	b o ˀt e a	?	b o t e k a	p o ɾ e kʲ a	?	pˀ o tˀ i k a
113-swell-74	?	m ĩ h ĩ	b i h i	?	h u h u	?	?	w i p i	ɸ ĩ ɸ i	b i p i	b i p i	h u h u	?	?	?	pˀ u p i
40-father-75	?	h a k ɨ	p a ɡ ɨ	h a kʰ ɨ	h a k ɨ	p a k ɨ	h a k ɨ	pʰ ɨ k ɨ	ɸ a k i	p a k ɨ	p a k ɨ	h a k ɨ	p a k ɨ	h a k ɨ	?	p a k ɨ
8-big-76	p a h i	h a i	?	?	h a i	?	h a i	?	?	p a i	p a h i	h a i	p a i	?	?	p a h i
5-armadillo-77	p ã m õ	h ã m õ	p ã m õ	h a m u	h ã m u	p ã m ũ	h ã m o	p ã m õ	ɸ ã m ũ	?	p ã m õ	?	p ã m õ	h a m u	?	p ã m u
46-float-78	?	h a j a	p a j a	?	?	?	?	p a ˀs a	?	p a s a	p a ˀs a	?	p a s a	?	?	p a ˀj a
42-fire-79	?	h e a	p e a	h ẽ kʰ a	h ẽ k a	p e k a	h e k a	pʰ i tʃ a	ɸ e k a	p e k a	p e k a	h e k a	p e e	h e kʲ a	?	p e k a
37-end-80	?	h e d i	p e ˀd e a	?	?	?	?	p i ˀt i	?	?	p e ˀt i	?	?	p e t i	?	p e tˀ i
124-tocandiraant-81	?	h e t a	p e d a	?	?	p i a d a	?	pʰ i t a	ɸ a t a	?	p e t a	?	p e t a	h a t a	?	p i a t a
92-palmweevil-82	?	h ĩ k õ	p ĩ ŋ ũ	h ĩ ˀkʰ o	h ĩ k o	p ĩ k õ	h ĩ k o	pʰ i tʃ o	ɸ ĩ k õ	?	p ĩ k õ	h ɨ̃ k o	?	?	?	p ĩ k o
56-handpalm-83	?	?	?	h ɨ̃ tʰ ɨ	ɨ̃ t ɨ	p ɨ d ɨ	h ɨ̃ t ɨ	?	ɸ i t a	?	?	h ɨ̃ t ɨ	?	?	?	p ɨ t ɨ
116-thorn-84	?	h o t a	p o d a	?	?	?	?	pʰ o t a	ɸ o t a	?	p o t a	?	p o t a	?	?	p o t a
12-blow-85	?	h u t i	p u d i	h u i	h u i	p u	h u	p u t i	?	?	p u t i	h ú/u i	p u t i	?	p u ɾ i	p u
90-paca-86	?	tʃ ẽ m ẽ	s ẽ m ẽ	s e m e	s e m e	h ẽ m ẽ	s e m e	s ã m ã	h ẽ m ẽ	?	s ẽ m ẽ	s e m e	h ẽ m ẽ	?	?	s e m e
