rule
pˀ -> h / ⋊ __ ɨ p ɨ ⋉
ɨ -> ɨ̃ / ⋊ pˀ __ p ɨ ⋉
p -> h / ⋊ pˀ ɨ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ pˀ ɨ p __ ⋉
pˀ -> m / ⋊ __ ã t͡s ã ⋉
t͡s -> ∅ / ⋊ pˀ ã __ ã ⋉
ã -> ĩ / ⋊ pˀ ã t͡s __ ⋉
pˀ -> t / ⋊ __ a j a ⋉
a -> ɨ / ⋊ pˀ __ j a ⋉
j -> t / ⋊ pˀ a __ a ⋉
a -> e / ⋊ pˀ a j __ ⋉
pˀ -> m / ⋊ __ e n e ⋉
pˀ -> b / ⋊ __ i a ⋉
pˀ -> b / ⋊ __ o ⋉
pˀ -> h / ⋊ __ o p e ⋉
p -> ∅ / ⋊ pˀ o __ e ⋉
e -> a / ⋊ pˀ o p __ ⋉
pˀ -> b / ⋊ __ õ s a ⋉
õ -> o / ⋊ pˀ __ s a ⋉
pˀ -> h / ⋊ __ u p i ⋉
p -> h / ⋊ pˀ u __ i ⋉
i -> u / ⋊ pˀ u p __ ⋉
p -> h / ⋊ __ a k ɨ ⋉
p -> h / ⋊ __ a h i ⋉
h -> ∅ / ⋊ p a __ i ⋉
p -> h / ⋊ __ e k a ⋉
p -> h / ⋊ __ ĩ k o ⋉
ĩ -> ɨ̃ / ⋊ p __ k o ⋉
p -> h / ⋊ __ ɨ t ɨ ⋉
ɨ -> ɨ̃ / ⋊ p __ t ɨ ⋉
p -> h / ⋊ __ u ⋉
∅ -> i / ⋊ p u __ ⋉
s -> t͡ʃ / ⋊ __ i s i ⋉
s -> t͡ʃ / ⋊ s i __ i ⋉
ˀj -> j / ⋊ s ɨ __ o ⋉
s -> t / ⋊ __ o t ⋉
∅ -> o / ⋊ s o t __ ⋉
tˀ -> d / ⋊ __ ɨ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
tˀ -> n / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> ɨ / ⋊ tˀ __ p o ⋉
p -> h / ⋊ tˀ ɨ̃ __ o ⋉
tˀ -> n / ⋊ __ õ m i ⋉
õ -> o / ⋊ tˀ __ m i ⋉
∅ -> o / ⋊ tˀ õ m i __ ⋉
ɨ -> i / ⋊ t͡ʃ __ a ⋉
t͡ʃ -> s / ⋊ __ õ pˀ ɨ ⋉
pˀ -> h / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> õ / ⋊ t͡ʃ õ pˀ __ ⋉
a -> ã / ⋊ t __ kː e ⋉
kː -> k / ⋊ t a __ e ⋉
t͡s -> n / ⋊ __ ã kˀ ɨ ⋉
ã -> a / ⋊ t͡s __ kˀ ɨ ⋉
kˀ -> k / ⋊ t͡s ã __ ɨ ⋉
ɨ -> i / ⋊ t͡s ã kˀ __ ⋉
t͡s -> n / ⋊ __ e m e ⋉
t͡s -> n / ⋊ __ ĩ ⋉
ĩ -> e / ⋊ t͡s __ ⋉
∅ -> a / ⋊ t͡s ĩ __ ⋉
t͡s -> j / ⋊ __ i a ⋉
t͡s -> j / ⋊ __ i a ⋉
t͡s -> j / ⋊ __ i a ⋉
t͡s -> t͡ʃ / ⋊ __ i tː a ⋉
tː -> t / ⋊ t͡s i __ a ⋉
t͡s -> t͡ʃ / ⋊ __ ɨ p o ⋉
ɨ -> i / ⋊ t͡s __ p o ⋉
p -> ∅ / ⋊ t͡s ɨ __ o ⋉
t͡s -> d / ⋊ __ o a ⋉
t͡s -> s / ⋊ __ ẽ s e ⋉
t͡s -> s / ⋊ __ ɨ s i ⋉
i -> ɨ / ⋊ t͡s ɨ s __ ⋉
t͡s -> s / ⋊ __ ũ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
∅ -> i / ⋊ t͡s ũ kː __ ɨ ⋉
∅ -> j̃ / ⋊ t͡s ũ kː __ ɨ ⋉
ɨ -> i / ⋊ t͡s ũ kː __ ⋉
u -> o / ⋊ __ p e ⋉
p -> h / ⋊ u __ e ⋉
tː -> t / ⋊ u __ i ⋉
w -> b / ⋊ __ a j a ⋉
a -> e / ⋊ w __ j a ⋉
a -> o / ⋊ w a j __ ⋉
w -> b / ⋊ __ a j o ⋉
w -> m / ⋊ __ ã m i ⋉
ã -> a / ⋊ w __ m i ⋉
w -> ∅ / ⋊ __ ã tː i ⋉
tː -> ∅ / ⋊ w ã __ i ⋉
w -> b / ⋊ __ a ʔ i ⋉
ʔ -> ∅ / ⋊ w a __ i ⋉
w -> b / ⋊ __ e kː ɨ ⋉
kː -> k / ⋊ w e __ ɨ ⋉
w -> b / ⋊ __ e kː o ⋉
kː -> k / ⋊ w e __ o ⋉
w -> b / ⋊ __ e s e ⋉
w -> ∅ / ⋊ __ ɨ ʔ e ⋉
ɨ -> u / ⋊ w __ ʔ e ⋉
ʔ -> ∅ / ⋊ w ɨ __ e ⋉
w -> m / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> ɨ / ⋊ w __ p o ⋉
p -> h / ⋊ w ɨ̃ __ o ⋉
o -> a / ⋊ w ɨ̃ p __ ⋉
