rule
ɨ̃ -> ɨ / ⋊ tˀ __ p o ⋉
p -> h / ⋊ tˀ ɨ̃ __ o ⋉
tˀ -> ɾ / ⋊ __ ɨ tː e ⋉
ɨ -> u / ⋊ tˀ __ tː e ⋉
tː -> ˀtʰ / ⋊ tˀ ɨ __ e ⋉
tˀ -> ɾ / ⋊ __ o j e ⋉
tˀ -> ɾ / ⋊ __ õ m i ⋉
õ -> o / ⋊ tˀ __ m i ⋉
∅ -> o / ⋊ tˀ õ m i __ ⋉
t͡ʃ -> s / ⋊ __ ɨ ⋉
∅ -> i / ⋊ t͡ʃ __ ɨ ⋉
∅ -> ʔʷ / ⋊ t͡ʃ __ ɨ ⋉
ɨ -> i / ⋊ t͡ʃ __ ⋉
t͡ʃ -> s / ⋊ __ ɨ a ⋉
ɨ -> i / ⋊ t͡ʃ __ a ⋉
t͡ʃ -> s / ⋊ __ õ pˀ ɨ ⋉
õ -> ũ / ⋊ t͡ʃ __ pˀ ɨ ⋉
pˀ -> h / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ũ / ⋊ t͡ʃ õ pˀ __ ⋉
t -> tʰ / ⋊ __ a j a ⋉
a -> ã / ⋊ t __ kː e ⋉
kː -> kʰ / ⋊ t a __ e ⋉
t͡s -> j / ⋊ __ ã kˀ ɨ ⋉
ã -> a / ⋊ t͡s __ kˀ ɨ ⋉
kˀ -> k / ⋊ t͡s ã __ ɨ ⋉
ɨ -> i / ⋊ t͡s ã kˀ __ ⋉
t͡s -> j / ⋊ __ a s e ⋉
a -> ã / ⋊ t͡s __ s e ⋉
t͡s -> j / ⋊ __ e m e ⋉
t͡s -> j / ⋊ __ ĩ ⋉
ĩ -> i / ⋊ t͡s __ ⋉
t͡s -> j / ⋊ __ i a ⋉
t͡s -> j / ⋊ __ i a ⋉
t͡s -> j / ⋊ __ i a ⋉
t͡s -> j / ⋊ __ i e ⋉
t͡s -> s / ⋊ __ ɨ p o ⋉
ɨ -> ĩ / ⋊ t͡s __ p o ⋉
p -> h / ⋊ t͡s ɨ __ o ⋉
o -> õ / ⋊ t͡s ɨ p __ ⋉
t͡s -> s / ⋊ __ ã s a ⋉
s -> ˀs / ⋊ t͡s ã __ a ⋉
t͡s -> s / ⋊ __ ẽ s e ⋉
t͡s -> j / ⋊ __ i m a ⋉
t͡s -> s / ⋊ __ ɨ s i ⋉
i -> ɨ / ⋊ t͡s ɨ s __ ⋉
t͡s -> s / ⋊ __ ũ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
∅ -> i / ⋊ t͡s ũ kː __ ɨ ⋉
∅ -> j̃ / ⋊ t͡s ũ kː __ ɨ ⋉
t͡s -> s / ⋊ __ u s i ⋉
u -> ũ / ⋊ t͡s __ s i ⋉
t -> tʰ / ⋊ __ o a ⋉
t -> tʰ / ⋊ __ u ⋉
∅ -> u / ⋊ t __ u ⋉
u -> o / ⋊ __ p e ⋉
p -> h / ⋊ u __ e ⋉
tː -> tʰ / ⋊ u __ i ⋉
a -> o / ⋊ w a j __ ⋉
w -> m / ⋊ __ ã m i ⋉
ã -> a / ⋊ w __ m i ⋉
ã -> a / ⋊ w __ tː i ⋉
tː -> tʰ / ⋊ w ã __ i ⋉
kː -> kʰ / ⋊ w e __ ɨ ⋉
kː -> k / ⋊ w e __ o ⋉
s -> ˀs / ⋊ w e __ e ⋉
u -> ɨ / ⋊ w __ ɨ ⋉
kˀ -> k / ⋊ __ ɨ̃ t a ⋉
ɨ̃ -> a / ⋊ kˀ __ t a ⋉
t -> tʰ / ⋊ kˀ ɨ̃ __ a ⋉
