rule
i -> u / ⋊ pˀ __ p o ⋉
p -> h / ⋊ pˀ i __ o ⋉
o -> e / ⋊ pˀ i p __ ⋉
pˀ -> b / ⋊ __ ɨ k ɨ ⋉
pˀ -> b / ⋊ __ o ⋉
∅ -> t / ⋊ pˀ o __ ⋉
∅ -> i / ⋊ pˀ o __ ⋉
pˀ -> m / ⋊ __ o p a ⋉
p -> m / ⋊ pˀ o __ a ⋉
a -> o / ⋊ pˀ o p __ ⋉
pˀ -> b / ⋊ __ o p e ⋉
p -> h / ⋊ pˀ o __ e ⋉
pˀ -> m / ⋊ __ õ s a ⋉
õ -> ũ / ⋊ pˀ __ s a ⋉
s -> t͡ʃ / ⋊ pˀ õ __ a ⋉
a -> ã / ⋊ pˀ õ s __ ⋉
pˀ -> b / ⋊ __ o tˀ i k a ⋉
tˀ -> d / ⋊ pˀ o __ i k a ⋉
i -> e / ⋊ pˀ o tˀ __ k a ⋉
pˀ -> m / ⋊ __ u p i ⋉
u -> ĩ / ⋊ pˀ __ p i ⋉
p -> h / ⋊ pˀ u __ i ⋉
i -> ĩ / ⋊ pˀ u p __ ⋉
p -> h / ⋊ __ a k ɨ ⋉
p -> h / ⋊ __ a h i ⋉
h -> ∅ / ⋊ p a __ i ⋉
p -> h / ⋊ __ ã m u ⋉
u -> õ / ⋊ p ã m __ ⋉
p -> h / ⋊ __ a ˀj a ⋉
ˀj -> j / ⋊ p a __ a ⋉
p -> h / ⋊ __ e k a ⋉
k -> ∅ / ⋊ p e __ a ⋉
p -> h / ⋊ __ e tˀ i ⋉
tˀ -> d / ⋊ p e __ i ⋉
p -> h / ⋊ __ i a t a ⋉
i -> ∅ / ⋊ p __ a t a ⋉
a -> e / ⋊ p i __ t a ⋉
p -> h / ⋊ __ ĩ k o ⋉
o -> õ / ⋊ p ĩ k __ ⋉
p -> h / ⋊ __ o t a ⋉
p -> h / ⋊ __ u ⋉
∅ -> t / ⋊ p u __ ⋉
∅ -> i / ⋊ p u __ ⋉
s -> t͡ʃ / ⋊ __ e m e ⋉
e -> ẽ / ⋊ s __ m e ⋉
e -> ẽ / ⋊ s e m __ ⋉
s -> t͡ʃ / ⋊ __ ĩ kˀ e ⋉
kˀ -> ŋ / ⋊ s ĩ __ e ⋉
e -> ẽ / ⋊ s ĩ kˀ __ ⋉
s -> ∅ / ⋊ __ i s i ⋉
s -> t͡ʃ / ⋊ s i __ i ⋉
∅ -> k / ⋊ s i s i __ ⋉
∅ -> a / ⋊ s i s i __ ⋉
∅ -> m / ⋊ s i s i __ ⋉
∅ -> u / ⋊ s i s i __ ⋉
s -> t͡ʃ / ⋊ __ ɨ ˀj o ⋉
ɨ -> e / ⋊ s __ ˀj o ⋉
