rule
k -> ∅ / ⋊ j ɨ̃ __ a ⋉
a -> ã / ⋊ j ɨ̃ k __ ⋉
ɨ -> ∅ / ⋊ j __ ʔ ɨ ⋉
ʔ -> ∅ / ⋊ j ɨ __ ɨ ⋉
kˀ -> k / ⋊ __ ã pˀ o ⋉
pˀ -> m / ⋊ kˀ ã __ o ⋉
o -> ũ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> k / ⋊ __ ɨ pˀ o ⋉
pˀ -> b / ⋊ kˀ ɨ __ o ⋉
kˀ -> k / ⋊ __ ɨ tˀ a ⋉
tˀ -> d / ⋊ kˀ ɨ __ a ⋉
kˀ -> k / ⋊ __ o ɨ ⋉
o -> ũ / ⋊ kˀ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ kˀ o __ ⋉
kˀ -> k / ⋊ __ o n e ⋉
o -> õ / ⋊ kˀ __ n e ⋉
e -> ẽ / ⋊ kˀ o n __ ⋉
kˀ -> k / ⋊ __ o p e ⋉
p -> b / ⋊ kˀ o __ e ⋉
kˀ -> k / ⋊ __ õ p i ⋉
i -> ĩ / ⋊ kˀ õ p __ ⋉
kˀ -> k / ⋊ __ õ ʔ ã ⋉
õ -> ũ / ⋊ kˀ __ ʔ ã ⋉
ʔ -> ∅ / ⋊ kˀ õ __ ã ⋉
kˀ -> k / ⋊ __ o ʔ o ⋉
ʔ -> w / ⋊ kˀ o __ o ⋉
o -> ɨ / ⋊ kˀ o ʔ __ ⋉
o -> õ / ⋊ k __ n e ⋉
e -> ẽ / ⋊ k o n __ ⋉
kʷ -> k / ⋊ __ ɨ tˀ e ⋉
ɨ -> o / ⋊ kʷ __ tˀ e ⋉
tˀ -> d / ⋊ kʷ ɨ __ e ⋉
a -> ∅ / ⋊ m __ h a ⋉
h -> ∅ / ⋊ m a __ a ⋉
a -> ã / ⋊ m a h __ ⋉
s -> h / ⋊ m a __ i ⋉
a -> ∅ / ⋊ m __ ʔ a ⋉
ʔ -> ∅ / ⋊ m a __ a ⋉
a -> ã / ⋊ m a ʔ __ ⋉
e -> ẽ / ⋊ m __ k a ⋉
k -> ∅ / ⋊ m e __ a ⋉
a -> ã / ⋊ m e k __ ⋉
i -> ĩ / ⋊ m __ m i ⋉
i -> ĩ / ⋊ m i m __ ⋉
ɨ -> ɨ̃ / ⋊ m __ t͡s a ⋉
t͡s -> h / ⋊ m ɨ __ a ⋉
a -> ã / ⋊ m ɨ t͡s __ ⋉
ɨ -> ɨ̃ / ⋊ m __ t e ⋉
e -> ẽ / ⋊ m ɨ t __ ⋉
e -> ẽ / ⋊ n __ o ⋉
o -> õ / ⋊ n e __ ⋉
e -> ẽ / ⋊ n __ ʔ e ⋉
ʔ -> ∅ / ⋊ n e __ e ⋉
e -> ĩ / ⋊ n e ʔ __ ⋉
ɨ -> u / ⋊ n __ kˀ ⋉
kˀ -> ∅ / ⋊ n ɨ __ ⋉
o -> õ / ⋊ n __ ⋉
∅ -> ẽ / ⋊ n o __ ⋉
kː -> k / ⋊ o __ o ⋉
tː -> t / ⋊ o __ e ⋉
pˀ -> p / ⋊ __ ɨ p ɨ ⋉
ɨ -> ɨ̃ / ⋊ pˀ __ p ɨ ⋉
ɨ -> ɨ̃ / ⋊ pˀ ɨ p __ ⋉
pˀ -> m / ⋊ __ ã t͡s ã ⋉
t͡s -> h / ⋊ pˀ ã __ ã ⋉
pˀ -> b / ⋊ __ a j a ⋉
pˀ -> p / ⋊ __ a p i ⋉
pˀ -> m / ⋊ __ e n e ⋉
e -> ẽ / ⋊ pˀ __ n e ⋉
e -> ẽ / ⋊ pˀ e n __ ⋉
pˀ -> b / ⋊ __ e t e ⋉
t -> d / ⋊ pˀ e __ e ⋉
pˀ -> b / ⋊ __ i a ⋉
pˀ -> p / ⋊ __ i p o ⋉
pˀ -> b / ⋊ __ ɨ k ɨ ⋉
pˀ -> b / ⋊ __ o ⋉
pˀ -> p / ⋊ __ o p a ⋉
a -> o / ⋊ pˀ o p __ ⋉
pˀ -> p / ⋊ __ o p e ⋉
