rule
e -> ẽ / ⋊ pˀ e n __ ⋉
pˀ -> b / ⋊ __ i a ⋉
pˀ -> b / ⋊ __ i p o ⋉
o -> i / ⋊ pˀ i p __ ⋉
pˀ -> b / ⋊ __ ɨ k ɨ ⋉
k -> ɡ / ⋊ pˀ ɨ __ ɨ ⋉
pˀ -> b / ⋊ __ o ⋉
∅ -> d / ⋊ pˀ o __ ⋉
∅ -> e / ⋊ pˀ o __ ⋉
pˀ -> m / ⋊ __ o p a ⋉
p -> m / ⋊ pˀ o __ a ⋉
pˀ -> b / ⋊ __ o p e ⋉
p -> h / ⋊ pˀ o __ e ⋉
pˀ -> m / ⋊ __ õ s a ⋉
õ -> ũ / ⋊ pˀ __ s a ⋉
a -> ã / ⋊ pˀ õ s __ ⋉
pˀ -> b / ⋊ __ o tˀ i k a ⋉
tˀ -> d / ⋊ pˀ o __ i k a ⋉
i -> e / ⋊ pˀ o tˀ __ k a ⋉
pˀ -> b / ⋊ __ u p i ⋉
u -> i / ⋊ pˀ __ p i ⋉
p -> h / ⋊ pˀ u __ i ⋉
k -> ɡ / ⋊ p a __ ɨ ⋉
u -> õ / ⋊ p ã m __ ⋉
ˀj -> j / ⋊ p a __ a ⋉
k -> ∅ / ⋊ p e __ a ⋉
tˀ -> ˀd / ⋊ p e __ i ⋉
i -> e / ⋊ p e tˀ __ ⋉
∅ -> a / ⋊ p e tˀ i __ ⋉
i -> ∅ / ⋊ p __ a t a ⋉
a -> e / ⋊ p i __ t a ⋉
t -> d / ⋊ p i a __ a ⋉
k -> ŋ / ⋊ p ĩ __ o ⋉
o -> ũ / ⋊ p ĩ k __ ⋉
t -> d / ⋊ p o __ a ⋉
∅ -> d / ⋊ p u __ ⋉
∅ -> i / ⋊ p u __ ⋉
e -> ẽ / ⋊ s __ m e ⋉
e -> ẽ / ⋊ s e m __ ⋉
ɨ -> i / ⋊ s __ ˀj o ⋉
ˀj -> j / ⋊ s ɨ __ o ⋉
o -> u / ⋊ s ɨ ˀj __ ⋉
õ -> ũ / ⋊ s __ k ɨ ⋉
k -> ŋ / ⋊ s õ __ ɨ ⋉
ɨ -> ũ / ⋊ s õ k __ ⋉
t -> d / ⋊ s o __ ⋉
∅ -> o / ⋊ s o t __ ⋉
tˀ -> n / ⋊ __ ɨ̃ kˀ o ⋉
ɨ̃ -> ũ / ⋊ tˀ __ kˀ o ⋉
kˀ -> ŋ / ⋊ tˀ ɨ̃ __ o ⋉
o -> ũ / ⋊ tˀ ɨ̃ kˀ __ ⋉
tˀ -> n / ⋊ __ ɨ kː ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ __ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ ɨ kː __ ⋉
tˀ -> d / ⋊ __ o j e ⋉
j -> ∅ / ⋊ tˀ o __ e ⋉
tˀ -> n / ⋊ __ õ m i ⋉
i -> ẽ / ⋊ tˀ õ m __ ⋉
∅ -> õ / ⋊ tˀ õ m i __ ⋉
t͡ʃ -> s / ⋊ __ õ pˀ ɨ ⋉
õ -> ũ / ⋊ t͡ʃ __ pˀ ɨ ⋉
pˀ -> m / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ũ / ⋊ t͡ʃ õ pˀ __ ⋉
j -> ∅ / ⋊ t a __ a ⋉
t -> ɡ / ⋊ __ a kː e ⋉
kː -> k / ⋊ t a __ e ⋉
e -> i / ⋊ t a kː __ ⋉
t͡s -> n / ⋊ __ a s e ⋉
a -> ã / ⋊ t͡s __ s e ⋉
e -> ĩ / ⋊ t͡s a s __ ⋉
t͡s -> ɲ / ⋊ __ ĩ ⋉
∅ -> ĩ / ⋊ t͡s ĩ __ ⋉
t͡s -> d / ⋊ __ i a ⋉
t͡s -> d / ⋊ __ i a ⋉
t͡s -> d / ⋊ __ i e ⋉
e -> i / ⋊ t͡s i __ ⋉
t͡s -> d / ⋊ __ i tː a ⋉
tː -> t / ⋊ t͡s i __ a ⋉
t͡s -> d / ⋊ __ ɨ p o ⋉
ɨ -> i / ⋊ t͡s __ p o ⋉
o -> u / ⋊ t͡s ɨ p __ ⋉
t͡s -> d / ⋊ __ ɨ s e o ⋉
ɨ -> i / ⋊ t͡s __ s e o ⋉
e -> i / ⋊ t͡s ɨ s __ o ⋉
o -> ∅ / ⋊ t͡s ɨ s e __ ⋉
t͡s -> j / ⋊ __ o a ⋉
t͡s -> s / ⋊ __ ã s a ⋉
s -> n / ⋊ t͡s ã __ a ⋉
a -> ã / ⋊ t͡s ã s __ ⋉
t͡s -> j / ⋊ __ ẽ s e ⋉
ẽ -> e / ⋊ t͡s __ s e ⋉
t͡s -> n / ⋊ __ i m a ⋉
i -> ĩ / ⋊ t͡s __ m a ⋉
a -> ã / ⋊ t͡s i m __ ⋉
t͡s -> j / ⋊ __ ɨ s i ⋉
i -> a / ⋊ t͡s ɨ s __ ⋉
t͡s -> j / ⋊ __ ũ kː ɨ ⋉
ũ -> u / ⋊ t͡s __ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
∅ -> u / ⋊ t __ u ⋉
∅ -> d / ⋊ t __ u ⋉
u -> ã / ⋊ __ p e ⋉
e -> ĩ / ⋊ u p __ ⋉
tː -> t / ⋊ u __ i ⋉
j -> ˀj / ⋊ w a __ o ⋉
o -> u / ⋊ w a j __ ⋉
w -> w̃ / ⋊ __ ã m i ⋉
m -> ∅ / ⋊ w ã __ i ⋉
i -> ĩ / ⋊ w ã m __ ⋉
tː -> t / ⋊ w ã __ i ⋉
kː -> k / ⋊ w e __ ɨ ⋉
kː -> k / ⋊ w e __ o ⋉
w -> m / ⋊ __ ĩ n o ⋉
o -> ũ / ⋊ w ĩ n __ ⋉
ɨ -> i / ⋊ w __ ʔ e ⋉
e -> i / ⋊ w ɨ ʔ __ ⋉
w -> b / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> u / ⋊ w __ p o ⋉
o -> u / ⋊ w ɨ̃ p __ ⋉
w -> b / ⋊ __ u ɨ ⋉
ɨ -> i / ⋊ w u __ ⋉
kˀ -> ∅ / ⋊ __ ɨ̃ t a ⋉
a -> ã / ⋊ kˀ ɨ̃ t __ ⋉
