rule
e -> ẽ / ⋊ pˀ __ n e ⋉
e -> ẽ / ⋊ pˀ e n __ ⋉
pˀ -> b / ⋊ __ i a ⋉
pˀ -> w / ⋊ __ i p o ⋉
o -> e / ⋊ pˀ i p __ ⋉
pˀ -> b / ⋊ __ ɨ k ɨ ⋉
pˀ -> b / ⋊ __ o ⋉
∅ -> ˀt / ⋊ pˀ o __ ⋉
∅ -> a / ⋊ pˀ o __ ⋉
pˀ -> ∅ / ⋊ __ o p a ⋉
o -> w / ⋊ pˀ __ p a ⋉
p -> ∅ / ⋊ pˀ o __ a ⋉
∅ -> ˀm / ⋊ pˀ o p a __ ⋉
∅ -> u / ⋊ pˀ o p a __ ⋉
pˀ -> p / ⋊ __ o p e ⋉
p -> ʔ / ⋊ pˀ o __ e ⋉
e -> a / ⋊ pˀ o p __ ⋉
pˀ -> b / ⋊ __ o tˀ i k a ⋉
tˀ -> ˀt / ⋊ pˀ o __ i k a ⋉
i -> e / ⋊ pˀ o tˀ __ k a ⋉
k -> ∅ / ⋊ pˀ o tˀ i __ a ⋉
pˀ -> w / ⋊ __ u p i ⋉
u -> i / ⋊ pˀ __ p i ⋉
p -> pʰ / ⋊ __ a k ɨ ⋉
a -> ɨ / ⋊ p __ k ɨ ⋉
u -> õ / ⋊ p ã m __ ⋉
ˀj -> ˀs / ⋊ p a __ a ⋉
p -> pʰ / ⋊ __ e k a ⋉
e -> i / ⋊ p __ k a ⋉
k -> t͡ʃ / ⋊ p e __ a ⋉
e -> i / ⋊ p __ tˀ i ⋉
tˀ -> ˀt / ⋊ p e __ i ⋉
p -> pʰ / ⋊ __ i a t a ⋉
a -> ∅ / ⋊ p i __ t a ⋉
p -> pʰ / ⋊ __ ĩ k o ⋉
ĩ -> i / ⋊ p __ k o ⋉
k -> t͡ʃ / ⋊ p ĩ __ o ⋉
p -> pʰ / ⋊ __ o t a ⋉
∅ -> t / ⋊ p u __ ⋉
∅ -> i / ⋊ p u __ ⋉
e -> ã / ⋊ s __ m e ⋉
e -> ã / ⋊ s e m __ ⋉
∅ -> tʰ / ⋊ __ s ĩ kˀ e ⋉
∅ -> u / ⋊ __ s ĩ kˀ e ⋉
ĩ -> a / ⋊ s __ kˀ e ⋉
kˀ -> ˀk / ⋊ s ĩ __ e ⋉
e -> a / ⋊ s ĩ kˀ __ ⋉
∅ -> m / ⋊ __ s i s i ⋉
∅ -> ẽ / ⋊ __ s i s i ⋉
s -> n / ⋊ __ i s i ⋉
∅ -> ẽ / ⋊ s __ i s i ⋉
i -> ĩ / ⋊ s __ s i ⋉
s -> ˀs / ⋊ s i __ i ⋉
i -> ĩ / ⋊ s i s __ ⋉
ˀj -> s / ⋊ s ɨ __ o ⋉
õ -> ũ / ⋊ s __ k ɨ ⋉
ɨ -> ũ / ⋊ s õ k __ ⋉
o -> i / ⋊ s __ t ⋉
∅ -> u / ⋊ s o t __ ⋉
a -> ã / ⋊ s õ ʔ __ ⋉
tˀ -> n / ⋊ __ ɨ̃ kˀ o ⋉
kˀ -> ˀk / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ kˀ __ ⋉
tˀ -> n / ⋊ __ ɨ kː ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ __ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ ɨ kː __ ⋉
tˀ -> n / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> ã / ⋊ tˀ __ p o ⋉
p -> m / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ p __ ⋉
tˀ -> d / ⋊ __ ɨ tː e ⋉
tː -> t / ⋊ tˀ ɨ __ e ⋉
tˀ -> n / ⋊ __ õ m i ⋉
õ -> ũ / ⋊ tˀ __ m i ⋉
i -> ĩ / ⋊ tˀ õ m __ ⋉
∅ -> n / ⋊ tˀ õ m i __ ⋉
∅ -> õ / ⋊ tˀ õ m i __ ⋉
t͡ʃ -> s / ⋊ __ ɨ a ⋉
ɨ -> a / ⋊ t͡ʃ __ a ⋉
t͡ʃ -> s / ⋊ __ õ pˀ ɨ ⋉
õ -> ɨ̃ / ⋊ t͡ʃ __ pˀ ɨ ⋉
pˀ -> m / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ t͡ʃ õ pˀ __ ⋉
∅ -> k / ⋊ t͡ʃ õ pˀ ɨ __ ⋉
∅ -> ã / ⋊ t͡ʃ õ pˀ ɨ __ ⋉
t -> tʰ / ⋊ __ a j a ⋉
j -> ∅ / ⋊ t a __ a ⋉
t -> k / ⋊ __ a kː e ⋉
kː -> ∅ / ⋊ t a __ e ⋉
e -> ∅ / ⋊ t a kː __ ⋉
t͡s -> j / ⋊ __ ã kˀ ɨ ⋉
ã -> a / ⋊ t͡s __ kˀ ɨ ⋉
kˀ -> ˀk / ⋊ t͡s ã __ ɨ ⋉
ɨ -> a / ⋊ t͡s ã kˀ __ ⋉
t͡s -> d / ⋊ __ a s e ⋉
t͡s -> ɲ / ⋊ __ e m e ⋉
e -> ã / ⋊ t͡s __ m e ⋉
e -> ã / ⋊ t͡s e m __ ⋉
t͡s -> ɲ / ⋊ __ ĩ ⋉
∅ -> ĩ / ⋊ t͡s ĩ __ ⋉
t͡s -> d / ⋊ __ i a ⋉
a -> e / ⋊ t͡s i __ ⋉
t͡s -> d / ⋊ __ i a ⋉
t͡s -> d / ⋊ __ i e ⋉
e -> ∅ / ⋊ t͡s i __ ⋉
t͡s -> d / ⋊ __ ɨ p o ⋉
ɨ -> a / ⋊ t͡s __ p o ⋉
o -> u / ⋊ t͡s ɨ p __ ⋉
t͡s -> d / ⋊ __ ɨ s e o ⋉
o -> ∅ / ⋊ t͡s ɨ s e __ ⋉
t͡s -> j / ⋊ __ o a ⋉
t͡s -> s / ⋊ __ ã s a ⋉
s -> n / ⋊ t͡s ã __ a ⋉
a -> ã / ⋊ t͡s ã s __ ⋉
t͡s -> j / ⋊ __ ẽ s e ⋉
ẽ -> e / ⋊ t͡s __ s e ⋉
t͡s -> ɲ / ⋊ __ i m a ⋉
i -> ĩ / ⋊ t͡s __ m a ⋉
a -> ã / ⋊ t͡s i m __ ⋉
t͡s -> j / ⋊ __ ɨ s i ⋉
i -> ɨ / ⋊ t͡s ɨ s __ ⋉
t͡s -> j / ⋊ __ ũ kː ɨ ⋉
ũ -> u / ⋊ t͡s __ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
t͡s -> ∅ / ⋊ __ u s i ⋉
u -> j / ⋊ t͡s __ s i ⋉
s -> ∅ / ⋊ t͡s u __ i ⋉
i -> ĩ / ⋊ t͡s u s __ ⋉
t -> tʰ / ⋊ __ o a ⋉
∅ -> tʰ / ⋊ __ t u ⋉
∅ -> u / ⋊ __ t u ⋉
u -> ∅ / ⋊ __ p e ⋉
e -> ẽ / ⋊ u p __ ⋉
∅ -> n / ⋊ u p e __ ⋉
∅ -> õ / ⋊ u p e __ ⋉
u -> ∅ / ⋊ __ tː i ⋉
tː -> t / ⋊ u __ i ⋉
j -> ˀs / ⋊ w a __ a ⋉
j -> ˀs / ⋊ w a __ o ⋉
o -> u / ⋊ w a j __ ⋉
w -> w̃ / ⋊ __ ã m i ⋉
i -> ã / ⋊ w ã m __ ⋉
tː -> t / ⋊ w ã __ i ⋉
e -> a / ⋊ w __ kː ɨ ⋉
kː -> t͡ʃ / ⋊ w e __ ɨ ⋉
e -> a / ⋊ w __ kː o ⋉
kː -> t͡ʃ / ⋊ w e __ o ⋉
o -> õ / ⋊ w ĩ n __ ⋉
e -> ɨ / ⋊ w ɨ ʔ __ ⋉
ɨ̃ -> ɨ / ⋊ w __ p o ⋉
w -> b / ⋊ __ u ɨ ⋉
ɨ -> u / ⋊ w u __ ⋉
