rule
∅ -> o / ⋊ s o t __ ⋉
tˀ -> d / ⋊ __ ɨ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
tˀ -> d / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> ɨ / ⋊ tˀ __ p o ⋉
p -> h / ⋊ tˀ ɨ̃ __ o ⋉
tˀ -> d / ⋊ __ o j e ⋉
tˀ -> n / ⋊ __ õ m i ⋉
∅ -> o / ⋊ tˀ õ m i __ ⋉
t͡ʃ -> s / ⋊ __ ɨ ⋉
∅ -> ɾ / ⋊ t͡ʃ ɨ __ ⋉
∅ -> a / ⋊ t͡ʃ ɨ __ ⋉
t͡ʃ -> s / ⋊ __ ɨ a ⋉
ɨ -> i / ⋊ t͡ʃ __ a ⋉
t͡ʃ -> s / ⋊ __ õ pˀ ɨ ⋉
pˀ -> h / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> õ / ⋊ t͡ʃ õ pˀ __ ⋉
a -> ã / ⋊ t __ kː e ⋉
kː -> k / ⋊ t a __ e ⋉
t͡s -> sˀ / ⋊ __ ã kˀ ɨ ⋉
kˀ -> k / ⋊ t͡s ã __ ɨ ⋉
ɨ -> i / ⋊ t͡s ã kˀ __ ⋉
t͡s -> j / ⋊ __ a s e ⋉
a -> ã / ⋊ t͡s __ s e ⋉
t͡s -> sˀ / ⋊ __ e m e ⋉
t͡s -> sˀ / ⋊ __ i a ⋉
t͡s -> sˀ / ⋊ __ i a ⋉
t͡s -> sˀ / ⋊ __ i a ⋉
t͡s -> sˀ / ⋊ __ i e ⋉
t͡s -> s / ⋊ __ ɨ p o ⋉
ɨ -> ĩ / ⋊ t͡s __ p o ⋉
p -> ∅ / ⋊ t͡s ɨ __ o ⋉
o -> õ / ⋊ t͡s ɨ p __ ⋉
t͡s -> s / ⋊ __ o a ⋉
∅ -> ʔ / ⋊ t͡s o __ a ⋉
a -> o / ⋊ t͡s o __ ⋉
t͡s -> sˀ / ⋊ __ ã s a ⋉
s -> ˀs / ⋊ t͡s ã __ a ⋉
t͡s -> s / ⋊ __ ẽ s e ⋉
t͡s -> sˀ / ⋊ __ i m a ⋉
i -> ĩ / ⋊ t͡s __ m a ⋉
t͡s -> s / ⋊ __ ɨ s i ⋉
i -> ɨ / ⋊ t͡s ɨ s __ ⋉
t͡s -> s / ⋊ __ ũ kː ɨ ⋉
ũ -> õ / ⋊ t͡s __ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
u -> o / ⋊ __ p e ⋉
p -> h / ⋊ u __ e ⋉
tː -> t / ⋊ u __ i ⋉
w -> m / ⋊ __ ã m i ⋉
ã -> a / ⋊ w __ m i ⋉
ã -> a / ⋊ w __ tː i ⋉
tː -> t / ⋊ w ã __ i ⋉
e -> ẽ / ⋊ w __ kː ɨ ⋉
kː -> k / ⋊ w e __ ɨ ⋉
kː -> k / ⋊ w e __ o ⋉
s -> ˀs / ⋊ w e __ e ⋉
w -> m / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> o / ⋊ w __ p o ⋉
p -> h / ⋊ w ɨ̃ __ o ⋉
u -> ∅ / ⋊ w __ ɨ ⋉
kˀ -> k / ⋊ __ ɨ̃ t a ⋉
ɨ̃ -> ɨ / ⋊ kˀ __ t a ⋉
t -> n / ⋊ kˀ ɨ̃ __ a ⋉
