rule
ɨ̃ -> ĩ / ⋊ tˀ __ kˀ o ⋉
kˀ -> k / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ kˀ __ ⋉
tˀ -> ɾ / ⋊ __ ɨ kː ɨ ⋉
ɨ -> ĩ / ⋊ tˀ __ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
ɨ -> ĩ / ⋊ tˀ ɨ kː __ ⋉
tˀ -> ɾ / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> ũ / ⋊ tˀ __ p o ⋉
p -> m / ⋊ tˀ ɨ̃ __ o ⋉
o -> ũ / ⋊ tˀ ɨ̃ p __ ⋉
tˀ -> ɾ / ⋊ __ o j e ⋉
tˀ -> ɾ / ⋊ __ õ m i ⋉
i -> õ / ⋊ tˀ õ m __ ⋉
t͡ʃ -> h / ⋊ __ õ pˀ ɨ ⋉
õ -> ũ / ⋊ t͡ʃ __ pˀ ɨ ⋉
pˀ -> m / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ũ / ⋊ t͡ʃ õ pˀ __ ⋉
kː -> k / ⋊ t a __ e ⋉
t͡s -> n / ⋊ __ a s e ⋉
a -> ã / ⋊ t͡s __ s e ⋉
s -> h / ⋊ t͡s a __ e ⋉
e -> ẽ / ⋊ t͡s a s __ ⋉
t͡s -> n / ⋊ __ ĩ ⋉
∅ -> ẽ / ⋊ t͡s __ ĩ ⋉
∅ -> ʔ / ⋊ t͡s __ ĩ ⋉
t͡s -> ɾ / ⋊ __ i a ⋉
t͡s -> ɾ / ⋊ __ i a ⋉
t͡s -> ɾ / ⋊ __ i e ⋉
∅ -> b / ⋊ t͡s i __ e ⋉
t͡s -> ɾ / ⋊ __ ɨ p o ⋉
ɨ -> u / ⋊ t͡s __ p o ⋉
p -> ɸ / ⋊ t͡s ɨ __ o ⋉
o -> u / ⋊ t͡s ɨ p __ ⋉
t͡s -> ɾ / ⋊ __ ɨ s e o ⋉
ɨ -> i / ⋊ t͡s __ s e o ⋉
s -> h / ⋊ t͡s ɨ __ e o ⋉
e -> ∅ / ⋊ t͡s ɨ s __ o ⋉
t͡s -> j / ⋊ __ o a ⋉
a -> e / ⋊ t͡s o __ ⋉
t͡s -> h / ⋊ __ ã s a ⋉
s -> h / ⋊ t͡s ã __ a ⋉
a -> ã / ⋊ t͡s ã s __ ⋉
t͡s -> h / ⋊ __ ẽ s e ⋉
