Number	Proto	Context	Reflexes	Source	Target
1	h		h,∅	h	h
1	h		h,∅	h	∅
3	j	V_V	h,j,s,t∫	j	j
3	j	V_V	h,j,s,t∫	j	t∫
3	j	V_V	h,j,s,t∫	t∫	h
3	j	V_V	h,j,s,t∫	t∫	s
3	j	V_V	h,j,s,t∫	s	h
4	k	#_	k,kh	k	k
4	k	#_	k,kh	k	kh
5	k	V_V	g,k,kh	k	k
5	k	V_V	g,k,kh	k	kh
5	k	V_V	g,k,kh	k	g
6	k	i,e_	k,kh,t∫	k	k
6	k	i,e_	k,kh,t∫	k	kh
6	k	i,e_	k,kh,t∫	k	kj
6	k	i,e_	k,kh,t∫	kj	t∫
6	k	i,e_	k,kh,t∫	kh	t∫
7	k	~V_V	g,k,kh,∅	k	k
7	k	~V_V	g,k,kh,∅	k	kh
7	k	~V_V	g,k,kh,∅	k	g
7	k	~V_V	g,k,kh,∅	g	∅
8	kk		k,kh	kk	k
8	kk		k,kh	kk	kh
8	kk		k,kh	k	kh
9	kʔ	#_	g,k,kh,kʔ,∅	kʔ	kʔ
9	kʔ	#_	g,k,kh,kʔ,∅	kʔ	k
9	kʔ	#_	g,k,kh,kʔ,∅	kʔ	g
9	kʔ	#_	g,k,kh,kʔ,∅	g	∅
9	kʔ	#_	g,k,kh,kʔ,∅	k	kh
9	kʔ	#_	g,k,kh,kʔ,∅	kʔ	kh
10	kʔ	V_V	g,k,kh,vʔk,∅	kʔ	k
10	kʔ	V_V	g,k,kh,vʔk,∅	k	kh
10	kʔ	V_V	g,k,kh,vʔk,∅	k	g
10	kʔ	V_V	g,k,kh,vʔk,∅	kʔ	g
10	kʔ	V_V	g,k,kh,vʔk,∅	kʔ	vʔk
10	kʔ	V_V	g,k,kh,vʔk,∅	vʔk	g
10	kʔ	V_V	g,k,kh,vʔk,∅	g	∅
11	m		b,m	m	m
11	m		b,m	m	b
12	n		d,n	n	n
12	n		d,n	n	d
13	p	#_	h,p,ph,ɸ	p	p
13	p	#_	h,p,ph,ɸ	p	ph
13	p	#_	h,p,ph,ɸ	ph	ɸ
13	p	#_	h,p,ph,ɸ	ɸ	h
13	p	#_	h,p,ph,ɸ	ph	h
13	p	#_	h,p,ph,ɸ	p	ɸ
13	p	#_	h,p,ph,ɸ	p	h
14	p	V_V	h,p,ph,ɸ	p	p
14	p	V_V	h,p,ph,ɸ	p	ph
14	p	V_V	h,p,ph,ɸ	ph	ɸ
14	p	V_V	h,p,ph,ɸ	ɸ	h
14	p	V_V	h,p,ph,ɸ	ph	h
14	p	V_V	h,p,ph,ɸ	p	ɸ
14	p	V_V	h,p,ph,ɸ	p	h
15	pʔ	#_	b,p,pʔ,ʔb	pʔ	pʔ
15	pʔ	#_	b,p,pʔ,ʔb	pʔ	p
15	pʔ	#_	b,p,pʔ,ʔb	pʔ	ʔb
15	pʔ	#_	b,p,pʔ,ʔb	ʔb	b
15	pʔ	#_	b,p,pʔ,ʔb	pʔ	b
16	pʔ	#_V*p	b,h,p	pʔ	b
16	pʔ	#_V*p	b,h,p	pʔ	p
16	pʔ	#_V*p	b,h,p	p	ph
