ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Barasano-41-feminine-1-1,Barasano-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Desano-41-feminine-1-1,Desano-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Karapan-41-feminine-1-1,Karapan-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Koreguahe-41-feminine-1-1,Koreguahe-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Kubeo-41-feminine-1-1,Kubeo-41-feminine-1,k.o,41-feminine-1,false,expert,Chacon2014,k o,expert,Chacon2014
Maihiki-41-feminine-1-1,Maihiki-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Piratapuyo-41-feminine-1-1,Piratapuyo-41-feminine-1,k.o,41-feminine-1,false,expert,Chacon2014,k o,expert,Chacon2014
Sekoya-41-feminine-1-1,Sekoya-41-feminine-1,o,41-feminine-1,false,expert,Chacon2014,- o,expert,Chacon2014
Siona-41-feminine-1-1,Siona-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Tukano-41-feminine-1-1,Tukano-41-feminine-1,g.o,41-feminine-1,false,expert,Chacon2014,g o,expert,Chacon2014
Wanano-41-feminine-1-1,Wanano-41-feminine-1,k.o,41-feminine-1,false,expert,Chacon2014,k o,expert,Chacon2014
Prototucanoan-41-feminine-1-1,Prototucanoan-41-feminine-1,kʔ.o,41-feminine-1,false,expert,Chacon2014,kˀ o,expert,Chacon2014
Barasano-88-non3rdanimateperson-1-1,Barasano-88-non3rdanimateperson-1,b.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,b ɨ,expert,Chacon2014
Desano-88-non3rdanimateperson-1-1,Desano-88-non3rdanimateperson-1,b.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,b ɨ,expert,Chacon2014
Kubeo-88-non3rdanimateperson-1-1,Kubeo-88-non3rdanimateperson-1,w.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,w ɨ,expert,Chacon2014
Sekoya-88-non3rdanimateperson-1-1,Sekoya-88-non3rdanimateperson-1,w.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,w ɨ,expert,Chacon2014
Siona-88-non3rdanimateperson-1-1,Siona-88-non3rdanimateperson-1,w.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,w ɨ,expert,Chacon2014
Tukano-88-non3rdanimateperson-1-1,Tukano-88-non3rdanimateperson-1,p.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,p ɨ,expert,Chacon2014
Prototucanoan-88-non3rdanimateperson-1-1,Prototucanoan-88-non3rdanimateperson-1,pʔ.ɨ,88-non3rdanimateperson-2,false,expert,Chacon2014,pˀ ɨ,expert,Chacon2014
Barasano-1-3rdpersonmasculine-1-1,Barasano-1-3rdpersonmasculine-1,m.ĩ,1-3rdpersonmasculine-3,false,expert,Chacon2014,m ĩ,expert,Chacon2014
Desano-1-3rdpersonmasculine-1-1,Desano-1-3rdpersonmasculine-1,m.ĩ,1-3rdpersonmasculine-3,false,expert,Chacon2014,m ĩ,expert,Chacon2014
Kubeo-1-3rdpersonmasculine-1-1,Kubeo-1-3rdpersonmasculine-1,b.i,1-3rdpersonmasculine-3,false,expert,Chacon2014,b i,expert,Chacon2014
Sekoya-1-3rdpersonmasculine-1-1,Sekoya-1-3rdpersonmasculine-1,p.i,1-3rdpersonmasculine-3,false,expert,Chacon2014,p i,expert,Chacon2014
Tukano-1-3rdpersonmasculine-1-1,Tukano-1-3rdpersonmasculine-1,m.ĩ,1-3rdpersonmasculine-3,false,expert,Chacon2014,m ĩ,expert,Chacon2014
Prototucanoan-1-3rdpersonmasculine-1-1,Prototucanoan-1-3rdpersonmasculine-1,p.i,1-3rdpersonmasculine-3,false,expert,Chacon2014,p i,expert,Chacon2014
Barasano-19-casenonnominatvie-1-1,Barasano-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Desano-19-casenonnominatvie-1-1,Desano-19-casenonnominatvie-1,d.e,19-casenonnominatvie-4,false,expert,Chacon2014,d e,expert,Chacon2014
Karapan-19-casenonnominatvie-1-1,Karapan-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Koreguahe-19-casenonnominatvie-1-1,Koreguahe-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Kubeo-19-casenonnominatvie-1-1,Kubeo-19-casenonnominatvie-1,d.e,19-casenonnominatvie-4,false,expert,Chacon2014,d e,expert,Chacon2014
Maihiki-19-casenonnominatvie-1-1,Maihiki-19-casenonnominatvie-1,d.e,19-casenonnominatvie-4,false,expert,Chacon2014,d e,expert,Chacon2014
Piratapuyo-19-casenonnominatvie-1-1,Piratapuyo-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Sekoya-19-casenonnominatvie-1-1,Sekoya-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Siona-19-casenonnominatvie-1-1,Siona-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Tanimuka-19-casenonnominatvie-1-1,Tanimuka-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Tukano-19-casenonnominatvie-1-1,Tukano-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Wanano-19-casenonnominatvie-1-1,Wanano-19-casenonnominatvie-1,r.e,19-casenonnominatvie-4,false,expert,Chacon2014,ɾ e,expert,Chacon2014
Prototucanoan-19-casenonnominatvie-1-1,Prototucanoan-19-casenonnominatvie-1,tʔ.e,19-casenonnominatvie-4,false,expert,Chacon2014,tˀ e,expert,Chacon2014
Barasano-76-locative-1-1,Barasano-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Desano-76-locative-1-1,Desano-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Karapan-76-locative-1-1,Karapan-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Kubeo-76-locative-1-1,Kubeo-76-locative-1,n.õ,76-locative-5,false,expert,Chacon2014,n õ,expert,Chacon2014
Maihiki-76-locative-1-1,Maihiki-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Piratapuyo-76-locative-1-1,Piratapuyo-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Sekoya-76-locative-1-1,Sekoya-76-locative-1,r.o,76-locative-5,false,expert,Chacon2014,ɾ o,expert,Chacon2014
Siona-76-locative-1-1,Siona-76-locative-1,r.o,76-locative-5,false,expert,Chacon2014,ɾ o,expert,Chacon2014
Tukano-76-locative-1-1,Tukano-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Wanano-76-locative-1-1,Wanano-76-locative-1,d.o,76-locative-5,false,expert,Chacon2014,d o,expert,Chacon2014
Prototucanoan-76-locative-1-1,Prototucanoan-76-locative-1,tʔ.o,76-locative-5,false,expert,Chacon2014,tˀ o,expert,Chacon2014
Barasano-107-snake-1-1,Barasano-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Desano-107-snake-1-1,Desano-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Karapan-107-snake-1-1,Karapan-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Koreguahe-107-snake-1-1,Koreguahe-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Kubeo-107-snake-1-1,Kubeo-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Kueretu-107-snake-1-1,Kueretu-107-snake-1,h.a.j.a,107-snake-6,false,expert,Chacon2014,h a j a,expert,Chacon2014
Maihiki-107-snake-1-1,Maihiki-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Piratapuyo-107-snake-1-1,Piratapuyo-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Sekoya-107-snake-1-1,Sekoya-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Siona-107-snake-1-1,Siona-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Tanimuka-107-snake-1-1,Tanimuka-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Tukano-107-snake-1-1,Tukano-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Tuyuka-107-snake-1-1,Tuyuka-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Wanano-107-snake-1-1,Wanano-107-snake-1,ã.ɲ.ã,107-snake-6,false,expert,Chacon2014,- ã ɲ ã,expert,Chacon2014
Prototucanoan-107-snake-1-1,Prototucanoan-107-snake-1,ã.j.a,107-snake-6,false,expert,Chacon2014,- ã j a,expert,Chacon2014
Barasano-61-hot-1-1,Barasano-61-hot-1,a.ts.i,61-hot-7,false,expert,Chacon2014,- a - ts i - ( - - ),expert,Chacon2014
Desano-61-hot-1-1,Desano-61-hot-1,a.s.i,61-hot-7,false,expert,Chacon2014,- a - s i - ( - - ),expert,Chacon2014
Karapan-61-hot-1-1,Karapan-61-hot-1,a.s.i,61-hot-7,false,expert,Chacon2014,- a - s i - ( - - ),expert,Chacon2014
Koreguahe-61-hot-1-1,Koreguahe-61-hot-1,a.s.u,61-hot-7,false,expert,Chacon2014,- a - s u - ( - - ),expert,Chacon2014
Kueretu-61-hot-1-1,Kueretu-61-hot-1,h.a.t.ɨ,61-hot-7,false,expert,Chacon2014,h a - t ɨ - ( - - ),expert,Chacon2014
Maihiki-61-hot-1-1,Maihiki-61-hot-1,a.t∫.u,61-hot-7,false,expert,Chacon2014,- a - tʃ u - ( - - ),expert,Chacon2014
Siona-61-hot-1-1,Siona-61-hot-1,h.a.ʔs.u,61-hot-7,false,expert,Chacon2014,h a - ˀs u - ( - - ),expert,Chacon2014
Tukano-61-hot-1-1,Tukano-61-hot-1,a.s.i,61-hot-7,false,expert,Chacon2014,- a - s i - ( - - ),expert,Chacon2014
Tuyuka-61-hot-1-1,Tuyuka-61-hot-1,a.s.i,61-hot-7,false,expert,Chacon2014,- a - s i - ( - - ),expert,Chacon2014
Wanano-61-hot-1-1,Wanano-61-hot-1,s.i,61-hot-7,false,expert,Chacon2014,- - - s i - ( - - ),expert,Chacon2014
Yupua-61-hot-1-1,Yupua-61-hot-1,a.h.ts.i.a.m.a,61-hot-7,false,expert,Chacon2014,- a h ts i a ( m a ),expert,Chacon2014
Prototucanoan-61-hot-1-1,Prototucanoan-61-hot-1,a.ts.ɨ,61-hot-7,false,expert,Chacon2014,- a - ts ɨ - ( - - ),expert,Chacon2014
Barasano-89-nose-1-1,Barasano-89-nose-1,ĩ.ŋ.ẽ,89-nose-8,false,expert,Chacon2014,- ĩ ŋ ẽ - -,expert,Chacon2014
Desano-89-nose-1-1,Desano-89-nose-1,ĩ.ʔŋ.ĩ,89-nose-8,false,expert,Chacon2014,- ĩ ˀŋ ĩ - -,expert,Chacon2014
Karapan-89-nose-1-1,Karapan-89-nose-1,ɨ̃.k.ẽ,89-nose-8,false,expert,Chacon2014,- ɨ̃ k ẽ - -,expert,Chacon2014
Koreguahe-89-nose-1-1,Koreguahe-89-nose-1,ɨ̃.kh.e,89-nose-8,false,expert,Chacon2014,- ɨ̃ kʰ e - -,expert,Chacon2014
Kubeo-89-nose-1-1,Kubeo-89-nose-1,ũ.e.k.a,89-nose-8,false,expert,Chacon2014,- ũ - e k a,expert,Chacon2014
Kueretu-89-nose-1-1,Kueretu-89-nose-1,k.o.m.e,89-nose-8,false,expert,Chacon2014,k o m e - -,expert,Chacon2014
Maihiki-89-nose-1-1,Maihiki-89-nose-1,ũ.kw.e,89-nose-8,false,expert,Chacon2014,- ũ kʷ e - -,expert,Chacon2014
Sekoya-89-nose-1-1,Sekoya-89-nose-1,õ.kw.e,89-nose-8,false,expert,Chacon2014,- õ kʷ e - -,expert,Chacon2014
Siona-89-nose-1-1,Siona-89-nose-1,ũ.kw.e,89-nose-8,false,expert,Chacon2014,- ũ kʷ e - -,expert,Chacon2014
Tanimuka-89-nose-1-1,Tanimuka-89-nose-1,õ.m.ẽ,89-nose-8,false,expert,Chacon2014,- õ m ẽ - -,expert,Chacon2014
Tukano-89-nose-1-1,Tukano-89-nose-1,ẽ.ʔk.ẽ,89-nose-8,false,expert,Chacon2014,- ẽ ˀk ẽ - -,expert,Chacon2014
Tuyuka-89-nose-1-1,Tuyuka-89-nose-1,ẽ.k.ẽ.ã,89-nose-8,false,expert,Chacon2014,- ẽ k ẽ ã -,expert,Chacon2014
Wanano-89-nose-1-1,Wanano-89-nose-1,k.ẽ,89-nose-8,false,expert,Chacon2014,- - k ẽ - -,expert,Chacon2014
Yupua-89-nose-1-1,Yupua-89-nose-1,ɨ.g.ɨ,89-nose-8,false,expert,Chacon2014,- ɨ g ɨ - -,expert,Chacon2014
Prototucanoan-89-nose-1-1,Prototucanoan-89-nose-1,ɨ̃.kwʔ.e,89-nose-8,false,expert,Chacon2014,- ɨ̃ kʷˀ e - -,expert,Chacon2014
Barasano-78-man-1-1,Barasano-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Desano-78-man-1-1,Desano-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Karapan-78-man-1-1,Karapan-78-man-1,m.ɨ̃,78-man-9,false,expert,Chacon2014,- m ɨ̃,expert,Chacon2014
Koreguahe-78-man-1-1,Koreguahe-78-man-1,ɨ.m.ɨ,78-man-9,false,expert,Chacon2014,ɨ m ɨ,expert,Chacon2014
Kubeo-78-man-1-1,Kubeo-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Maihiki-78-man-1-1,Maihiki-78-man-1,ɨ.m.ɨ,78-man-9,false,expert,Chacon2014,ɨ m ɨ,expert,Chacon2014
Sekoya-78-man-1-1,Sekoya-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Siona-78-man-1-1,Siona-78-man-1,ɨ.m.ɨ,78-man-9,false,expert,Chacon2014,ɨ m ɨ,expert,Chacon2014
Tanimuka-78-man-1-1,Tanimuka-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Tukano-78-man-1-1,Tukano-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Tuyuka-78-man-1-1,Tuyuka-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Wanano-78-man-1-1,Wanano-78-man-1,ɨ̃.m.ɨ̃,78-man-9,false,expert,Chacon2014,ɨ̃ m ɨ̃,expert,Chacon2014
Prototucanoan-78-man-1-1,Prototucanoan-78-man-1,ɨ.m.ɨ,78-man-9,false,expert,Chacon2014,ɨ m ɨ,expert,Chacon2014
Barasano-101-pupunha-1-1,Barasano-101-pupunha-1,ɨ̃.n.ẽ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ẽ,expert,Chacon2014
Desano-101-pupunha-1-1,Desano-101-pupunha-1,ɨ̃.n.ĩ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ĩ,expert,Chacon2014
Karapan-101-pupunha-1-1,Karapan-101-pupunha-1,ɨ̃.n.ẽ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ẽ,expert,Chacon2014
Koreguahe-101-pupunha-1-1,Koreguahe-101-pupunha-1,ɨ.n.e,101-pupunha-10,false,expert,Chacon2014,ɨ n e,expert,Chacon2014
Kubeo-101-pupunha-1-1,Kubeo-101-pupunha-1,ɨ̃.n.ẽ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ẽ,expert,Chacon2014
Kueretu-101-pupunha-1-1,Kueretu-101-pupunha-1,ɨ.ʔn.e,101-pupunha-10,false,expert,Chacon2014,ɨ ˀn e,expert,Chacon2014
Piratapuyo-101-pupunha-1-1,Piratapuyo-101-pupunha-1,ɨ̃.n.ẽ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ẽ,expert,Chacon2014
Siona-101-pupunha-1-1,Siona-101-pupunha-1,ɨ.n.e,101-pupunha-10,false,expert,Chacon2014,ɨ n e,expert,Chacon2014
Tanimuka-101-pupunha-1-1,Tanimuka-101-pupunha-1,ĩ.r.ẽ,101-pupunha-10,false,expert,Chacon2014,ĩ ɾ ẽ,expert,Chacon2014
Tukano-101-pupunha-1-1,Tukano-101-pupunha-1,ɨ̃.n.ẽ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ẽ,expert,Chacon2014
Wanano-101-pupunha-1-1,Wanano-101-pupunha-1,ɨ̃.n.ẽ,101-pupunha-10,false,expert,Chacon2014,ɨ̃ n ẽ,expert,Chacon2014
Prototucanoan-101-pupunha-1-1,Prototucanoan-101-pupunha-1,ɨ.n.e,101-pupunha-10,false,expert,Chacon2014,ɨ n e,expert,Chacon2014
Barasano-117-three-1-1,Barasano-117-three-1,i.d.i.a,117-three-11,false,expert,Chacon2014,i d i a,expert,Chacon2014
Desano-117-three-1-1,Desano-117-three-1,ɨ.ʔd.e,117-three-11,false,expert,Chacon2014,ɨ ˀd - e,expert,Chacon2014
Kueretu-117-three-1-1,Kueretu-117-three-1,i.t.i.a,117-three-11,false,expert,Chacon2014,i t i a,expert,Chacon2014
Tukano-117-three-1-1,Tukano-117-three-1,i.ʔt.i.a,117-three-11,false,expert,Chacon2014,i ˀt i a,expert,Chacon2014
Tuyuka-117-three-1-1,Tuyuka-117-three-1,i.t.i.a,117-three-11,false,expert,Chacon2014,i t i a,expert,Chacon2014
Wanano-117-three-1-1,Wanano-117-three-1,t.i.a,117-three-11,false,expert,Chacon2014,- t i a,expert,Chacon2014
Prototucanoan-117-three-1-1,Prototucanoan-117-three-1,ɨ.tʔ.i.a,117-three-11,false,expert,Chacon2014,ɨ tˀ i a,expert,Chacon2014
Barasano-53-grape-1-1,Barasano-53-grape-1,ɨ.j.e,53-grape-12,false,expert,Chacon2014,ɨ j e -,expert,Chacon2014
Desano-53-grape-1-1,Desano-53-grape-1,i.g.i,53-grape-12,false,expert,Chacon2014,i g i -,expert,Chacon2014
Karapan-53-grape-1-1,Karapan-53-grape-1,ɨ.s.e,53-grape-12,false,expert,Chacon2014,ɨ s e -,expert,Chacon2014
Koreguahe-53-grape-1-1,Koreguahe-53-grape-1,ɨ.j.e,53-grape-12,false,expert,Chacon2014,ɨ j e -,expert,Chacon2014
Kubeo-53-grape-1-1,Kubeo-53-grape-1,ɨ́.j.a.i,53-grape-12,false,expert,Chacon2014,ɨ j a i,expert,Chacon2014
Maihiki-53-grape-1-1,Maihiki-53-grape-1,e.d.e,53-grape-12,false,expert,Chacon2014,e d e -,expert,Chacon2014
Siona-53-grape-1-1,Siona-53-grape-1,ɨ.j.e,53-grape-12,false,expert,Chacon2014,ɨ j e -,expert,Chacon2014
Tukano-53-grape-1-1,Tukano-53-grape-1,ɨ.ʔs.e,53-grape-12,false,expert,Chacon2014,ɨ ˀs e -,expert,Chacon2014
Tuyuka-53-grape-1-1,Tuyuka-53-grape-1,ɨ.s.e,53-grape-12,false,expert,Chacon2014,ɨ s e -,expert,Chacon2014
Wanano-53-grape-1-1,Wanano-53-grape-1,s.e,53-grape-12,false,expert,Chacon2014,- s e -,expert,Chacon2014
Prototucanoan-53-grape-1-1,Prototucanoan-53-grape-1,ɨ.ʔj.e,53-grape-12,false,expert,Chacon2014,ɨ ˀj e -,expert,Chacon2014
Barasano-59-heron-1-1,Barasano-59-heron-1,j.e.h.e,59-heron-13,false,expert,Chacon2014,j e h e,expert,Chacon2014
Desano-59-heron-1-1,Desano-59-heron-1,j.a.h.i,59-heron-13,false,expert,Chacon2014,j a h i,expert,Chacon2014
Karapan-59-heron-1-1,Karapan-59-heron-1,j.e.e,59-heron-13,false,expert,Chacon2014,j e - e,expert,Chacon2014
Kubeo-59-heron-1-1,Kubeo-59-heron-1,j.a.i,59-heron-13,false,expert,Chacon2014,j a - i,expert,Chacon2014
Maihiki-59-heron-1-1,Maihiki-59-heron-1,j.a.i,59-heron-13,false,expert,Chacon2014,j a - i,expert,Chacon2014
Sekoya-59-heron-1-1,Sekoya-59-heron-1,j.a.i,59-heron-13,false,expert,Chacon2014,j a - i,expert,Chacon2014
Tukano-59-heron-1-1,Tukano-59-heron-1,j.a.h.e,59-heron-13,false,expert,Chacon2014,j a h e,expert,Chacon2014
Tuyuka-59-heron-1-1,Tuyuka-59-heron-1,j.e.e,59-heron-13,false,expert,Chacon2014,j e - e,expert,Chacon2014
Wanano-59-heron-1-1,Wanano-59-heron-1,j.a.h.a,59-heron-13,false,expert,Chacon2014,j a h a,expert,Chacon2014
Prototucanoan-59-heron-1-1,Prototucanoan-59-heron-1,j.a.h.i,59-heron-13,false,expert,Chacon2014,j a h i,expert,Chacon2014
Barasano-67-jaguar-1-1,Barasano-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Desano-67-jaguar-1-1,Desano-67-jaguar-1,j.e.e,67-jaguar-14,false,expert,Chacon2014,( - - ) j e - e ( - ),expert,Chacon2014
Karapan-67-jaguar-1-1,Karapan-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Koreguahe-67-jaguar-1-1,Koreguahe-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Kubeo-67-jaguar-1-1,Kubeo-67-jaguar-1,j.a.w.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a w i ( - ),expert,Chacon2014
Kueretu-67-jaguar-1-1,Kueretu-67-jaguar-1,h.i.j.a.i,67-jaguar-14,false,expert,Chacon2014,( h i ) j a - i ( - ),expert,Chacon2014
Maihiki-67-jaguar-1-1,Maihiki-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Sekoya-67-jaguar-1-1,Sekoya-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Siona-67-jaguar-1-1,Siona-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Tanimuka-67-jaguar-1-1,Tanimuka-67-jaguar-1,j.a.i.a,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( a ),expert,Chacon2014
Tukano-67-jaguar-1-1,Tukano-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Wanano-67-jaguar-1-1,Wanano-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Prototucanoan-67-jaguar-1-1,Prototucanoan-67-jaguar-1,j.a.i,67-jaguar-14,false,expert,Chacon2014,( - - ) j a - i ( - ),expert,Chacon2014
Desano-20-centipede-1-1,Desano-20-centipede-1,ã.ʔŋ.ĩ,20-centipede-15,false,expert,Chacon2014,- ã ˀŋ ĩ ( - - - - ),expert,Chacon2014
Kubeo-20-centipede-1-1,Kubeo-20-centipede-1,a.w.i.m.e.k.ɨ,20-centipede-15,false,expert,Chacon2014,- a w i ( m e k ɨ ),expert,Chacon2014
Tukano-20-centipede-1-1,Tukano-20-centipede-1,ã.ʔk.ĩ,20-centipede-15,false,expert,Chacon2014,- ã ˀk ĩ ( - - - - ),expert,Chacon2014
Tuyuka-20-centipede-1-1,Tuyuka-20-centipede-1,m.ũ.n.ĩ,20-centipede-146,false,expert,Chacon2014,m ũ n ĩ ( - - - - ),expert,Chacon2014
Wanano-20-centipede-1-1,Wanano-20-centipede-1,ɲ.ã.ʔk.ĩ,20-centipede-15,false,expert,Chacon2014,ɲ ã ˀk ĩ ( - - - - ),expert,Chacon2014
Prototucanoan-20-centipede-1-1,Prototucanoan-20-centipede-1,ɲ.ã.kʔ.i,20-centipede-15,false,expert,Chacon2014,ɲ ã kˀ i ( - - - - ),expert,Chacon2014
Barasano-29-deer-1-1,Barasano-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Desano-29-deer-1-1,Desano-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Karapan-29-deer-1-1,Karapan-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Koreguahe-29-deer-1-1,Koreguahe-29-deer-1,ɲ.ã.m.a,29-deer-16,false,expert,Chacon2014,ɲ ã m a,expert,Chacon2014
Kubeo-29-deer-1-1,Kubeo-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Kueretu-29-deer-1-1,Kueretu-29-deer-1,ɲ.ã.m.a,29-deer-16,false,expert,Chacon2014,ɲ ã m a,expert,Chacon2014
Sekoya-29-deer-1-1,Sekoya-29-deer-1,ɲ.ã.m.a,29-deer-16,false,expert,Chacon2014,ɲ ã m a,expert,Chacon2014
Siona-29-deer-1-1,Siona-29-deer-1,ɲ.ã.m.a,29-deer-16,false,expert,Chacon2014,ɲ ã m a,expert,Chacon2014
Tanimuka-29-deer-1-1,Tanimuka-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Tukano-29-deer-1-1,Tukano-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Tuyuka-29-deer-1-1,Tuyuka-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Wanano-29-deer-1-1,Wanano-29-deer-1,ɲ.ã.m.ã,29-deer-16,false,expert,Chacon2014,ɲ ã m ã,expert,Chacon2014
Prototucanoan-29-deer-1-1,Prototucanoan-29-deer-1,j.a.m.a,29-deer-16,false,expert,Chacon2014,j a m a,expert,Chacon2014
Barasano-141-yam-1-1,Barasano-141-yam-1,ɲ.ã.m.õ,141-yam-17,false,expert,Chacon2014,ɲ ã m õ,expert,Chacon2014
