ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Prototucanoan-76-locative-1,,Prototucanoan,76-locative,*-tʔo,tʔ.o,tˀ o,,Chacon2014,,,^ tʔ . o $,default
Barasano-107-snake-1,,Barasano,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Desano-107-snake-1,,Desano,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Karapan-107-snake-1,,Karapan,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Koreguahe-107-snake-1,,Koreguahe,107-snake,ãjã,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Kubeo-107-snake-1,,Kubeo,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Kueretu-107-snake-1,,Kueretu,107-snake,haja,h.a.j.a,h a j a,,Chacon2014,,,^ h . a . j . a $,default
Maihiki-107-snake-1,,Maihiki,107-snake,ãjã,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Piratapuyo-107-snake-1,,Piratapuyo,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Sekoya-107-snake-1,,Sekoya,107-snake,ãjã,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Siona-107-snake-1,,Siona,107-snake,ãjã,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Tanimuka-107-snake-1,,Tanimuka,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Tukano-107-snake-1,,Tukano,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Tuyuka-107-snake-1,,Tuyuka,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Wanano-107-snake-1,,Wanano,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default
Prototucanoan-107-snake-1,,Prototucanoan,107-snake,*ãja,ã.j.a,ã j a,,Chacon2014,,,^ ã . j . a $,default
Barasano-61-hot-1,,Barasano,61-hot,aci,a.ts.i,a ts i,,Chacon2014,,,^ a . ts . i $,default
Desano-61-hot-1,,Desano,61-hot,asi,a.s.i,a s i,,Chacon2014,,,^ a . s . i $,default
Karapan-61-hot-1,,Karapan,61-hot,asi,a.s.i,a s i,,Chacon2014,,,^ a . s . i $,default
Koreguahe-61-hot-1,,Koreguahe,61-hot,asu,a.s.u,a s u,,Chacon2014,,,^ a . s . u $,default
Kueretu-61-hot-1,,Kueretu,61-hot,hatɨ,h.a.t.ɨ,h a t ɨ,,Chacon2014,,,^ h . a . t . ɨ $,default
Maihiki-61-hot-1,,Maihiki,61-hot,at∫u,a.t∫.u,a tʃ u,,Chacon2014,,,^ a . t∫ . u $,default
Siona-61-hot-1,,Siona,61-hot,haʔsu,h.a.ʔs.u,h a ˀs u,,Chacon2014,,,^ h . a . ʔs . u $,default
Tukano-61-hot-1,,Tukano,61-hot,asi,a.s.i,a s i,,Chacon2014,,,^ a . s . i $,default
Tuyuka-61-hot-1,,Tuyuka,61-hot,asi,a.s.i,a s i,,Chacon2014,,,^ a . s . i $,default
Wanano-61-hot-1,,Wanano,61-hot,si,s.i,s i,,Chacon2014,,,^ s . i $,default
Yupua-61-hot-1,,Yupua,61-hot,ahtsiama,a.h.ts.i.a.m.a,a h ts i a m a,,Chacon2014,,,^ a . h . ts . i . a . m . a $,default
Prototucanoan-61-hot-1,,Prototucanoan,61-hot,*atjɨ,a.ts.ɨ,a ts ɨ,,Chacon2014,,,^ a . ts . ɨ $,default
Barasano-89-nose-1,,Barasano,89-nose,~ige,ĩ.ŋ.ẽ,ĩ ŋ ẽ,,Chacon2014,,,^ ĩ . ŋ . ẽ $,default
Desano-89-nose-1,,Desano,89-nose,~iʔgi,ĩ.ʔŋ.ĩ,ĩ ˀŋ ĩ,,Chacon2014,,,^ ĩ . ʔŋ . ĩ $,default
Karapan-89-nose-1,,Karapan,89-nose,~ɨke,ɨ̃.k.ẽ,ɨ̃ k ẽ,,Chacon2014,,,^ ɨ̃ . k . ẽ $,default
