index,source,target,context,proto language,daughter language
1,dʒ,tʃ,N/A,Proto-Afro-Asiatic,Proto-Omotic
2,tʃ,ʃ,N/A,Proto-Afro-Asiatic,Proto-Omotic
3,t,ɔ, / _s\#,Proto-Afro-Asiatic,Proto-Omotic
4,ɬ,l,N/A,Proto-Afro-Asiatic,Proto-Omotic
5,f,p,N/A,Proto-Afro-Asiatic,Proto-Omotic
6,aː,eː," / _\{\ipa{Q,q}\}\$",Proto-Afro-Asiatic,Proto-Omotic
7,a,e," / _\{\ipa{Q,q}\}\$",Proto-Afro-Asiatic,Proto-Omotic
8,q,ʔ,N/A,Proto-Afro-Asiatic,Proto-Omotic
9,ʕ,h,N/A,Proto-Afro-Asiatic,Proto-Omotic
10,w,ɔ," / \#C_V, except _\ipa{i(:)}",Proto-Afro-Asiatic,Proto-Omotic
11,e,i, / \#N_C,Proto-Omotic,North Omotic
12,e,i," / \#\ipa{l}_\{P,C[+voiced]\}",Proto-Omotic,North Omotic
13,e,i, / \#\ipa{b}_,Proto-Omotic,North Omotic
14,e,i, / \ipa{p}_\ipa{r},Proto-Omotic,North Omotic
15,e,i," / \#\{\ipa{s,S,ts'}\}_\{\ipa{k(w),P}\}",Proto-Omotic,North Omotic
16,e,i, / \#C_P,Proto-Omotic,North Omotic
17,o,u, / \#C_P,Proto-Omotic,North Omotic
18,e,i, / \#(\ipa{P})_C,Proto-Omotic,North Omotic
19,o,u, / \#(\ipa{P})_C,Proto-Omotic,North Omotic
20,e,i," / \#\{\ipa{k('),x}\}_\{\ipa{t('),ts'}\}",Proto-Omotic,North Omotic
21,o,u," / \#\{\ipa{k('),x}\}_\{\ipa{t('),ts'}\}",Proto-Omotic,North Omotic
22,e,i, / \#(\ipa{P})_C\$,Proto-Omotic,North Omotic
23,o,u, / \#(\ipa{P})_C\$,Proto-Omotic,North Omotic
24,e,i," / \#P_\{\ipa{ts',tS'}\}",Proto-Omotic,North Omotic
25,o,u," / \#P_\{\ipa{ts',tS'}\}",Proto-Omotic,North Omotic
26,a,o," / \#\{\ipa{z,dZ}\}_P",Proto-Omotic,North Omotic
27,eː,iː," / \#C[+sibilant]_\{\ipa{d,n,r}\}",Proto-Omotic,North Omotic
28,e,i," / \#C[+sibilant]_\{\ipa{d,n,r}\}",Proto-Omotic,North Omotic
29,u,uː, / \#S[+voice]_P[-voice],Proto-Omotic,North Omotic
30,tʃ,ts,N/A,North Omotic,Bench
31,l,d, / \#_VC,North Omotic,Bench
32,l,n, / \#_VN,North Omotic,Bench
33,z,d, / V\ipa{j}_,North Omotic,Dizin
34,ts',ʒ, / V_,North Omotic,Dizin
35,ts,tʃ, / _\ipa{i},North Omotic,Dizin
36,ʔ,ɔ,N/A,North Omotic,Dizin
37,p,f, / V_,North Omotic,Kafa
38,z,j,N/A,North Omotic,Kafa
39,zː,dʒː,N/A,North Omotic,Kafa
40,s,ʃ, / !V_,North Omotic,Kafa
41,ts',tʃ',N/A,North Omotic,Kafa
42,ɲ,n,N/A,North Omotic,Kafa
43,l,d, / \#_VC,North Omotic,Kafa
44,l,n, / \#_V\ipa{b},North Omotic,Kafa
45,p,f, / V_,North Omotic,Maale
46,z,d, / V_,North Omotic,Maale
47,z,ts, / V\ipa{j}_,North Omotic,Maale
48,ts,s, / V_,North Omotic,Maale
49,tsː,ts, / V_,North Omotic,Maale
50,ts',tʃ', / \#_,North Omotic,Maale
51,ts',s, / V_,North Omotic,Maale
52,ɲ,n,N/A,North Omotic,Maale
53,p',p, / V_,North Omotic,Shekkacho
54,p',b,N/A,North Omotic,Shekkacho
55,z,j," / \{\#,V\}_",North Omotic,Shekkacho
56,z,dʒː, / V\ipa{j}_,North Omotic,Shekkacho
57,zː,dʒː,N/A,North Omotic,Shekkacho
58,s,ʃ, / ! V_,North Omotic,Shekkacho
59,ts',tʃ',N/A,North Omotic,Shekkacho
60,ʒ,ʃ, / \#_,North Omotic,Shekkacho
61,ts,ʃ, / V_,North Omotic,Shekkacho
62,l,d, / \#_VC,North Omotic,Shekkacho
63,l,n, / \#_V\ipa{b},North Omotic,Shekkacho
64,p,f,N/A,North Omotic,Wolaytta
65,ɲ,n,N/A,North Omotic,Wolaytta
66,l,n, / \#_VN,North Omotic,Wolaytta
67,p,f,N/A,North Omotic,Yemsa
68,p',b,N/A,North Omotic,Yemsa
69,z,d, / V_,North Omotic,Yemsa
70,k',k, / \#,North Omotic,Yemsa
71,tʃ,ʔj,N/A,North Omotic,Yemsa
72,ʒ,s,N/A,North Omotic,Yemsa
73,ts,s, / \#_,North Omotic,Yemsa
74,tʃ',tʃ,N/A,North Omotic,Yemsa
75,ɲ,n,N/A,North Omotic,Yemsa
76,l,n, / \#_VC,North Omotic,Yemsa
77,d',t,N/A,North Omotic,Yemsa
78,p',ʔp,N/A,North Omotic,Zayse-Zergulla
79,z,ts, / V\ipa{j}_,North Omotic,Zayse-Zergulla
80,ts',s',N/A,North Omotic,Zayse-Zergulla
81,tsː,ts, / V_,North Omotic,Zayse-Zergulla
82,ɲ,n,N/A,North Omotic,Zayse-Zergulla
83,k',q,N/A,South Omotic,Aari
84,tʃ,ts,N/A,South Omotic,Aari
85,k',ɡ', / \#_,South Omotic,Dime
86,tʃ,ts,N/A,South Omotic,Dime
87,ts,ʃ, / _\ipa{i},South Omotic,Dime
88,ɡ,k," / \#\{\ipa{d,w}\}V_",Proto-Erythrean,Proto-Cushitic
89,z,ɡ,N/A,Proto-Agaw,Awngi
90,dz,z,N/A,Proto-Agaw,Awngi
91,ɡ,dz,N/A,Proto-Agaw,Awngi
92,k',γ,N/A,Proto-Agaw,Awngi
93,kʷ',q,N/A,Proto-Agaw,Awngi
94,ɢʷ,xʷ, / else,Proto-Agaw,Blin
95,ɢ,x, / else,Proto-Agaw,Blin
96,x,ɔ,N/A,Proto-Agaw,Kemantney
97,xʷ,w,N/A,Proto-Agaw,Kemantney
98,ɢʷ,γʷ,N/A,Proto-Agaw,Kemantney
99,ts,ʃ,N/A,Proto-Agaw,Kemantney
100,tʃ,dʒ,N/A,Proto-Agaw,Kemantney
101,t,j, / medially,Proto-Agaw,Kemantney
102,k',χʷ, / \#_,Proto-Agaw,Kemantney
103,kʷ',χʷ,N/A,Proto-Agaw,Kemantney
104,ts,s',N/A,Proto-Agaw,Xamtanga
105,tʃ,tʃ',N/A,Proto-Agaw,Xamtanga
106,dz,z,N/A,Proto-Agaw,Xamtanga
107,k',q, / else,Proto-Agaw,Xamtanga
108,eː,i,N/A,Proto-Erythrean,Proto-North Erythrean
109,oː,u,N/A,Proto-Erythrean,Proto-North Erythrean
110,e,a,N/A,Proto-Erythrean,Proto-North Erythrean
111,o,ə,N/A,Proto-Erythrean,Proto-North Erythrean
112,ħ,h,N/A,Proto-North Erythrean,Proto-Chadic
113,ʕ,ʔ,N/A,Proto-North Erythrean,Proto-Chadic
114,ts,s,N/A,Proto-North Erythrean,Proto-Chadic
115,dz,z,N/A,Proto-North Erythrean,Proto-Chadic
116,̑,s',N/A,Proto-North Erythrean,Proto-Chadic
117,ts,ʃ',N/A,Proto-North Erythrean,Proto-Chadic
118,h,ħ, / \#_V\ipa{s},Proto-North Erythrean,Proto-Boreafrasian
119,z,d, / {\it ``when another sibilant is in the word nearby''} and (word-finally?) when {\it ``noun-stem final''},Proto-North Erythrean,Proto-Boreafrasian
120,h,ħ, / _V\ipa{z},Proto-Boreafrasian,Egypto-Berber
121,l,ɔ," / \#\{\ipa{d,t'}\}_VC",Proto-Boreafrasian,Egypto-Berber
122,ɬ,s, / \#_VC,Proto-Boreafrasian,Egypto-Berber
123,f,p," / \#_V\{Z,C[-voice],\ipa{r}\}",Proto-Boreafrasian,Egypto-Berber
124,p',p,N/A,Proto-Boreafrasian,Egypto-Berber
125,p,b, / \#\ipa{dl}V_,Proto-Boreafrasian,Egypto-Berber
126,xw,γw,N/A,Proto-Boreafrasian,Egypto-Berber
127,γw,ħ,N/A,Proto-Boreafrasian,Egypto-Berber
128,k,ɡ," / _\{\ipa{w,j}\}",Proto-Boreafrasian,Egypto-Berber
129,ɡwʋq,ʕ,N/A,Proto-Boreafrasian,Egypto-Berber
130,kw,tʃ, / \#_V\ipa{t},Proto-Boreafrasian,Egypto-Berber
131,k,tʃ, / \#_V\ipa{t},Proto-Boreafrasian,Egypto-Berber
132,ɡw,dʒ, / \#_V\ipa{d},Proto-Boreafrasian,Egypto-Berber
133,ɡ,dʒ, / \#_V\ipa{d},Proto-Boreafrasian,Egypto-Berber
134,q,ɔ, / _\ipa{i},Proto-Boreafrasian,Egypto-Berber
135,q,i," / \#_V\{Z,C[+dental]\}",Proto-Boreafrasian,Egypto-Berber
136,ʕ,i, / \#_VR,Proto-Boreafrasian,Egypto-Berber
137,qu,w," / _\{\ipa{f,s}\} (sporadic)",Proto-Boreafrasian,Egypto-Berber
138,ʔ,ʕ," / _V\{\ipa{n,r,g}\}",Proto-Boreafrasian,Egypto-Berber
139,q,ʔ, / _C[+dental],Proto-Boreafrasian,Egypto-Berber
140,q,ʔ, / \ipa{h}_,Proto-Boreafrasian,Egypto-Berber
141,qh,ʕħ,N/A,Proto-Boreafrasian,Egypto-Berber
142,γ,ʕ, / \ipa{\textcrh}_,Proto-Boreafrasian,Egypto-Berber
143,tl',dl, / \#_V\ipa{\textcrh r},Proto-Boreafrasian,Egypto-Berber
144,r,l, / \#_V(V)O[+labial],Proto-Boreafrasian,Egypto-Berber
145,r,ʔ," / C_\{\ipa{t,w,j}\}\# ! C = \{\ipa{g,m,n,r,w,S,x}\}",Proto-Boreafrasian,Egypto-Berber
146,l,j, / \#_\ipa{i}C ? ,Proto-Boreafrasian,Egypto-Berber
147,l,r, / \#\ipa{n}V_C,Proto-Boreafrasian,Egypto-Berber
148,n,l," / \#_(V)\{\ipa{s,S,h}\}V\{\ipa{m,b}\}\#",Ancient Egyptian,Coptic
149,n,l," / \#_V\{\ipa{m,b}\}\{\ipa{s,S,h}\}",Ancient Egyptian,Coptic
150,n,l, / \#_V\ipa{k},Ancient Egyptian,Coptic
151,n,l, / \ipa{m}V_C,Ancient Egyptian,Coptic
152,n,l, / CV_\ipa{m},Ancient Egyptian,Coptic
153,r,l, / \#(C)_\ipa{c}(C)\# ? ,Ancient Egyptian,Coptic
154,tl',ɬ, / _C[+sibilant],Proto-Boreafrasian,Proto-Semitic
155,γ,ɡ, / \#_VCH,Proto-Boreafrasian,Proto-Semitic
156,γw,ɡ, / \#_V\ipa{x},Proto-Boreafrasian,Proto-Semitic
157,γ,ɡ, / \#_V\ipa{x},Proto-Boreafrasian,Proto-Semitic
158,k'w,k, / \#\ipa{dl}V_,Proto-Boreafrasian,Proto-Semitic
159,k',k, / \#\ipa{dl}V_,Proto-Boreafrasian,Proto-Semitic
160,w,ɔ, / _C,Proto-Boreafrasian,Proto-Semitic
161,θˤ,ðˤ,N/A,Proto-Semitic,Classical Arabic
162,kˤ,q,N/A,Proto-Semitic,Classical Arabic
163,ɡ,ɡʲ,N/A,Proto-Semitic,Classical Arabic
164,ɡʲ,dʒ,N/A,Proto-Semitic,Classical Arabic
165,ʃ,s,N/A,Proto-Semitic,Classical Arabic
166,ɬ,ʃ,N/A,Proto-Semitic,Classical Arabic
167,ɬˤ,dɬˤ,N/A,Proto-Semitic,Classical Arabic
168,dɬˤ,dˤ,N/A,Proto-Semitic,Classical Arabic
169,m,n," / ``in certain contexts, notably in the nunation''",Proto-Semitic,Classical Arabic
170,q,k,N/A,Classical Arabic,Cypriot Arabic
171,f,p, / F_,Classical Arabic,Cypriot Arabic
172,θ,t, / F_,Classical Arabic,Cypriot Arabic
173,k,c," / _\{\ipa{j},E\}",Classical Arabic,Cypriot Arabic
174,x,̧c," / _\{\ipa{j},E\}",Classical Arabic,Cypriot Arabic
175,j,c," / \{O,\ipa{r}\}",Classical Arabic,Cypriot Arabic
176,j,ɔ, / C\ipa{k}_\$,Classical Arabic,Cypriot Arabic
177,nx,xː,N/A,Classical Arabic,Cypriot Arabic
178,tˤ,s,N/A,Classical Arabic,Cypriot Arabic
179,sˤ,t,N/A,Classical Arabic,Cypriot Arabic
180,ɔ,i, / \#al\$_\ipa{z},Classical Arabic,Cypriot Arabic
181,dʒ,z,N/A,Classical Arabic,Cypriot Arabic
182,γ,ʕ,N/A,Classical Arabic,Cypriot Arabic
183,ħ,x,N/A,Classical Arabic,Cypriot Arabic
184,w,v, / _\%,Classical Arabic,Cypriot Arabic
185,wː,v,N/A,Classical Arabic,Cypriot Arabic
186,jː,ɔ, / V_E,Classical Arabic,Cypriot Arabic
187,j,ɔ, / V_E,Classical Arabic,Cypriot Arabic
188,uː,oː, / _\ipa{Q},Classical Arabic,Cypriot Arabic
189,iː,eː, / _\ipa{Q},Classical Arabic,Cypriot Arabic
190,uː,oː, / \ipa{Q}_,Classical Arabic,Cypriot Arabic
191,iː,eː, / \ipa{Q}_,Classical Arabic,Cypriot Arabic
192,i,a," / C\ipa{\super Q}_\{\ipa{q,G,Q}\}",Classical Arabic,Cypriot Arabic
193,i,a," / \{\ipa{q,G,Q}\}_C\ipa{\super Q}",Classical Arabic,Cypriot Arabic
194,a,i," / _C(C), when stressed",Classical Arabic,Cypriot Arabic
195,u,o," / _\{\ipa{Q,G,x,r}\}",Classical Arabic,Cypriot Arabic
196,u,o," / \{\ipa{Q,G,x,r}\}_",Classical Arabic,Cypriot Arabic
197,uː,u,N/A,Classical Arabic,Cypriot Arabic
198,iː,i,N/A,Classical Arabic,Cypriot Arabic
199,a,a, / _C[+ dorsal],Classical Arabic,Cypriot Arabic
200,a,e, / _(C)(C)\ipa{i(:)},Classical Arabic,Cypriot Arabic
201,aː,a, / ! _\#,Classical Arabic,Cypriot Arabic
202,a,ɔ," / _\ipa{t}, in the feminine ending",Classical Arabic,Cypriot Arabic
203,aːʔ,e, / E(C)(C)_\#,Classical Arabic,Cypriot Arabic
204,θ,s,N/A,Classical Arabic,Egyptian Arabic
205,ð,z,N/A,Classical Arabic,Egyptian Arabic
206,dʒ,ɡ,N/A,Classical Arabic,Egyptian Arabic
207,i,e," / only when short, ! _\#",Classical Arabic,Egyptian Arabic
208,u,o," / only when short, ! _\#",Classical Arabic,Egyptian Arabic
209,aj,eː, / in U[+closed],Classical Arabic,Egyptian Arabic
210,aw,oː, / in U[+closed],Classical Arabic,Egyptian Arabic
211,ɔ,e, / CVCC_CVCV (applies across word boundaries),Classical Arabic,Egyptian Arabic
212,aː,ɑː, / near emphatics,Classical Arabic,Egyptian Arabic
213,a,ɑ, / near emphatics,Classical Arabic,Egyptian Arabic
214,aː,ɑː, / if \ipa{A(:)} is elsewhere in the word,Classical Arabic,Egyptian Arabic
215,a,ɑ, / if \ipa{A(:)} is elsewhere in the word,Classical Arabic,Egyptian Arabic
216,aː,ae:, / else (sometimes it seems more like \ipa{E(:)} to me),Classical Arabic,Egyptian Arabic
217,a,ae, / else (sometimes it seems more like \ipa{E(:)} to me),Classical Arabic,Egyptian Arabic
218,q,ʔ," / except in several words, two of which are \textit{al-Q\^{a}hira} and \textit{mus\^{i}q\^{a}}",Classical Arabic,Egyptian Arabic
219,θ,t,N/A,Classical Arabic,Coastal Hadhrami Arabic
220,ð,d,N/A,Classical Arabic,Coastal Hadhrami Arabic
221,ðˤ,dˤ,N/A,Classical Arabic,Coastal Hadhrami Arabic
222,q,ɡ,N/A,Classical Arabic,Coastal Hadhrami Arabic
223,aː,eː," / in Form VI ({\it taf\={a}`ala}) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions",Classical Arabic,Coastal Hadhrami Arabic
224,aː,ae:, / when not near emphatics,Classical Arabic,Coastal Hadhrami Arabic
225,θ,t,N/A,Classical Arabic,W\=ad\=\i Hadhrami Arabic
226,ð,d,N/A,Classical Arabic,W\=ad\=\i Hadhrami Arabic
227,ðˤ,dˤ,N/A,Classical Arabic,W\=ad\=\i Hadhrami Arabic
228,dˤ,ðˤ,N/A,Classical Arabic,W\=ad\=\i Hadhrami Arabic
229,q,ɡ,N/A,Classical Arabic,W\=ad\=\i Hadhrami Arabic
230,aː,eː," / in Form VI ({\it taf\={a}`ala}) verbs, though these apparently coexist with forms having the original vowel as well, with semantic distinctions",Classical Arabic,W\=ad\=\i Hadhrami Arabic
231,aː,ae:, / when not near emphatics,Classical Arabic,W\=ad\=\i Hadhrami Arabic
232,γː,ʁː,N/A,Classical Arabic,Hass\=aniyya Arabic
233,ʁː,qː,N/A,Classical Arabic,Hass\=aniyya Arabic
234,j,i, / \#_CV,Classical Arabic,Hass\=aniyya Arabic
235,w,u, / \#_CV,Classical Arabic,Hass\=aniyya Arabic
236,ɡʲ,j, / in southern regions,Classical Arabic,Iraqi Arabic
237,ʕ,ʔˤ,N/A,Classical Arabic,Iraqi Arabic
238,θ,t,N/A,Classical Arabic,Western Libyan Arabic
239,ðˤ,dˤ,N/A,Classical Arabic,Western Libyan Arabic
240,ð,d,N/A,Classical Arabic,Western Libyan Arabic
241,aj,eː,N/A,Classical Arabic,Western Libyan Arabic
242,aw,oː,N/A,Classical Arabic,Western Libyan Arabic
243,u,ə," / short only, except near ``a labial or velar consonant''",Classical Arabic,Moroccan Arabic
244,ə,a, / near \ipa{\textcrh\ Q},Classical Arabic,Moroccan Arabic
245,ə,ɐ, / near emphatics,Classical Arabic,Moroccan Arabic
246,ə,ɪ, / else,Classical Arabic,Moroccan Arabic
247,u,υ, / short only,Classical Arabic,Moroccan Arabic
248,aː,ɑː, / near emphatics,Classical Arabic,Moroccan Arabic
249,iː,eː, / near emphatics,Classical Arabic,Moroccan Arabic
250,uː,oː, / near emphatics,Classical Arabic,Moroccan Arabic
251,aː,ae:, / else,Classical Arabic,Moroccan Arabic
252,dʒ,ʒ, / else,Classical Arabic,Moroccan Arabic
253,s,ʃ, / if \ipa{S} is somewhere in the stem after it,Classical Arabic,Moroccan Arabic
254,dʒ,ʒ,N/A,Classical Arabic,Tunisian Arabic
255,x,χ,N/A,Classical Arabic,Tunisian Arabic
256,γ,ʁ,N/A,Classical Arabic,Tunisian Arabic
257,x,ħ,N/A,Proto-Semitic,Biblical Hebrew
258,γ,ʕ,N/A,Proto-Semitic,Biblical Hebrew
259,kˤ,q,N/A,Proto-Semitic,Biblical Hebrew
260,aː,oː, / ! _\#,Proto-Semitic,Biblical Hebrew
261,i,eə, / _R,Proto-Semitic,Biblical Hebrew
262,iː,iːə, / _R,Proto-Semitic,Biblical Hebrew
263,u,oə, / _R,Proto-Semitic,Biblical Hebrew
264,uː,uːə, / _R,Proto-Semitic,Biblical Hebrew
265,iː,eː, / _\#,Proto-Semitic,Biblical Hebrew
266,a,aː, / _\$,Proto-Semitic,Biblical Hebrew
267,i,e," / _R\{\$,\#\} (in verbs)",Proto-Semitic,Biblical Hebrew
268,u,a," / _R\{\$,\#\} (in verbs)",Proto-Semitic,Biblical Hebrew
269,i,e," / _C\{\$,\#\} (in verbs)",Proto-Semitic,Biblical Hebrew
270,u,o," / _C\{\$,\#\} (in verbs)",Proto-Semitic,Biblical Hebrew
271,aw,aːw,N/A,Proto-Semitic,Biblical Hebrew
272,aj,eː, / _\$,Proto-Semitic,Biblical Hebrew
273,oː,uː,N/A,Proto-Semitic,Biblical Hebrew
274,a,ɔ, / _\#,Proto-Semitic,Biblical Hebrew
275,a,ə, / _R if \ipa{@} in an adjacent syllable,Proto-Semitic,Biblical Hebrew
276,a,ə, / R_ if \ipa{@} in an adjacent syllable,Proto-Semitic,Biblical Hebrew
277,i,ə, / _R if a frontal allophone of \ipa{@} in an adjacent syllable,Proto-Semitic,Biblical Hebrew
278,i,ə, / R_ if a frontal allophone of \ipa{@} in an adjacent syllable,Proto-Semitic,Biblical Hebrew
279,u,ə, / _R if a backed allophone of \ipa{@} in an adjacent syllable,Proto-Semitic,Biblical Hebrew
280,u,ə, / R_ if a backed allophone of \ipa{@} in an adjacent syllable,Proto-Semitic,Biblical Hebrew
281,i,a, / _R,Proto-Semitic,Biblical Hebrew
282,i,a, / R_,Proto-Semitic,Biblical Hebrew
283,a,aː," / _\%""",Proto-Semitic,Biblical Hebrew
284,i,eː," / _\%""",Proto-Semitic,Biblical Hebrew
285,u,ɔ," / _C\{\$,\#\}",Proto-Semitic,Biblical Hebrew
286,u,ɔ, / ! _C\ipa{:},Proto-Semitic,Biblical Hebrew
287,p,b, / non-intial singletons,Proto-Semitic,Biblical Hebrew
288,b,v, / non-intial singletons,Proto-Semitic,Biblical Hebrew
289,t,θ, / non-intial singletons,Proto-Semitic,Biblical Hebrew
290,d,ð, / non-intial singletons,Proto-Semitic,Biblical Hebrew
291,k,x, / non-intial singletons,Proto-Semitic,Biblical Hebrew
292,ɡ,γ, / non-intial singletons,Proto-Semitic,Biblical Hebrew
293,ʕ,ɔ," / _\{\$,\#\}",Proto-Semitic,Biblical Hebrew
294,j,ɔ, / E_ (not clear whether only short E or long also),Proto-Semitic,Biblical Hebrew
295,ə,a, / near gutturals,Biblical Hebrew,Modern Israeli Hebrew
296,ə,ε," / \#R_C or when breaking up what would otherwise be a three-consonant cluster; in the case of two schwas, only the first one is dropped",Biblical Hebrew,Modern Israeli Hebrew
297,ə,ɔ, / else,Biblical Hebrew,Modern Israeli Hebrew
298,x,χ,N/A,Biblical Hebrew,Modern Israeli Hebrew
299,ʕ,ʔ,N/A,Biblical Hebrew,Modern Israeli Hebrew
300,sˤ,s,N/A,Biblical Hebrew,Modern Israeli Hebrew
301,tˤ,t,N/A,Biblical Hebrew,Modern Israeli Hebrew
302,ħ,χ,N/A,Biblical Hebrew,Modern Israeli Hebrew
303,q,k,N/A,Biblical Hebrew,Modern Israeli Hebrew
304,h,ɔ, / _\#,Biblical Hebrew,Modern Israeli Hebrew
305,ʔ,ɔ, / ! in onset of U[+stress] (colloquial),Biblical Hebrew,Modern Israeli Hebrew
306,ʔ,h, / _\ipa{l},Proto-Algonquian,Kennebec River Abenaki
307,l,n, / \#_,Proto-Algonquian,Kennebec River Abenaki
308,l,r,N/A,Proto-Algonquian,Kennebec River Abenaki
309,nr,rː,N/A,Proto-Algonquian,Kennebec River Abenaki
310,aː,a, / _OO,Proto-Algonquian,Kennebec River Abenaki
311,a,e, / \#C_OO,Proto-Algonquian,Kennebec River Abenaki
312,a,ɔ, / \#_OO,Proto-Algonquian,Kennebec River Abenaki
313,iw,o, / _\#,Proto-Algonquian,Kennebec River Abenaki
314,w,ɔ, / _\# ! \ipa{k(:)}_,Proto-Algonquian,Kennebec River Abenaki
315,j,ɔ, / _\# ! P_,Proto-Algonquian,Kennebec River Abenaki
316,w,ɔ, / C_ ! C = K,Proto-Algonquian,Kennebec River Abenaki
317,j,ɔ, / _C,Proto-Algonquian,Kennebec River Abenaki
318,i,ɔ, / \#\ipa{w}_,Proto-Algonquian,Kennebec River Abenaki
319,θ,n, / \#_,Proto-Algonquian,Kennebec River Abenaki
320,θ,s, / _\ipa{k},Proto-Algonquian,Kennebec River Abenaki
321,θ,r,N/A,Proto-Algonquian,Kennebec River Abenaki
322,ʃ,s,N/A,Proto-Algonquian,Kennebec River Abenaki
323,tʃ,ts,N/A,Proto-Algonquian,Kennebec River Abenaki
324,sk,kː, / ! _\ipa{a},Proto-Algonquian,Kennebec River Abenaki
325,ʔs,sː,N/A,Proto-Algonquian,Kennebec River Abenaki
326,ʔts,tsː,N/A,Proto-Algonquian,Kennebec River Abenaki
327,ʔ,h, / _\ipa{l},Proto-Algonquian,St. Francis Abenaki
328,aː,a, / _OO,Proto-Algonquian,St. Francis Abenaki
329,aː,̃O,N/A,Proto-Algonquian,St. Francis Abenaki
330,a,ɔ, / \#_OO,Proto-Algonquian,St. Francis Abenaki
331,iw,o, / _\#,Proto-Algonquian,St. Francis Abenaki
332,w,ɔ, / _\# ! \ipa{k(:)}_,Proto-Algonquian,St. Francis Abenaki
333,j,ɔ, / _\# ! \ipa{p}_,Proto-Algonquian,St. Francis Abenaki
334,w,ɔ, / C_ ! C = K,Proto-Algonquian,St. Francis Abenaki
335,j,ɔ, / C_,Proto-Algonquian,St. Francis Abenaki
336,h,ɔ, / V_V (sporadic?),Proto-Algonquian,St. Francis Abenaki
337,θ,n, / \#_,Proto-Algonquian,St. Francis Abenaki
338,θ,s, / _\ipa{k},Proto-Algonquian,St. Francis Abenaki
339,θ,l,N/A,Proto-Algonquian,St. Francis Abenaki
340,ʃ,s,N/A,Proto-Algonquian,St. Francis Abenaki
341,tʃ,ts,N/A,Proto-Algonquian,St. Francis Abenaki
342,nj,i, / \#_,Proto-Algonquian,St. Francis Abenaki
343,ʔs,sː,N/A,Proto-Algonquian,St. Francis Abenaki
344,ʔts,tsː,N/A,Proto-Algonquian,St. Francis Abenaki
345,sk,kː, / ! _\ipa{a},Proto-Algonquian,St. Francis Abenaki
346,i,e, / _R,Proto-Algonquian,St. Francis Abenaki
347,we,o,N/A,Proto-Algonquian,Proto-Arapaho-Atsina
348,oː,iː,N/A,Proto-Algonquian,Proto-Arapaho-Atsina
349,o,i,N/A,Proto-Algonquian,Proto-Arapaho-Atsina
350,e,i, / \#_,Proto-Algonquian,Proto-Arapaho-Atsina
351,θ,ʃ, / C_,Proto-Algonquian,Proto-Arapaho-Atsina
352,tʃ,ʃ, / _\ipa{p},Proto-Algonquian,Proto-Arapaho-Atsina
353,s,n, / \#_,Proto-Algonquian,Proto-Arapaho-Atsina
354,s,h," / \{V,C\}_",Proto-Algonquian,Proto-Arapaho-Atsina
355,r,n," / \{\#,V\}_",Proto-Algonquian,Proto-Arapaho-Atsina
356,r,h, / C_,Proto-Algonquian,Proto-Arapaho-Atsina
357,tʃ,θ,N/A,Proto-Algonquian,Proto-Arapaho-Atsina
358,iː,uː, / \ipa{o(:)}(C[-dental])(C[-dental])_,Proto-Arapaho-Atsina,Arapaho
359,i,u, / \ipa{o(:)}(C[-dental])(C[-dental])_,Proto-Arapaho-Atsina,Arapaho
360,ɔ,ʔ, / CV[-long]_\#,Proto-Arapaho-Atsina,Arapaho
361,ʃ,x, / _B,Proto-Arapaho-Atsina,Arapaho
362,m,w, / _B,Proto-Arapaho-Atsina,Arapaho
363,ʃ,x, / B_\#,Proto-Arapaho-Atsina,Arapaho
364,m,w, / B_\#,Proto-Arapaho-Atsina,Arapaho
365,ʃ,x, / \ipa{o(:)}_\ipa{e(:)},Proto-Arapaho-Atsina,Arapaho
366,m,b, / \ipa{o(:)}_\ipa{e(:)},Proto-Arapaho-Atsina,Arapaho
367,ʃ,s," / _\{E,\ipa{j}\}",Proto-Arapaho-Atsina,Arapaho
368,k,tʃ," / _\{E,\ipa{j}\}",Proto-Arapaho-Atsina,Arapaho
369,m,b," / _\{E,\ipa{j}\}",Proto-Arapaho-Atsina,Arapaho
370,ʃ,s, / E_\#,Proto-Arapaho-Atsina,Arapaho
371,k,tʃ, / E_\#,Proto-Arapaho-Atsina,Arapaho
372,m,b, / E_\#,Proto-Arapaho-Atsina,Arapaho
373,ɔ,h, / \#_V,Proto-Arapaho-Atsina,Arapaho
374,eː,ei, / \ipa{j}_,Proto-Arapaho-Atsina,Arapaho
375,oː,eː, / C\ipa{j}_ (sporadic),Proto-Arapaho-Atsina,Arapaho
376,o,e, / C\ipa{j}_ (sporadic),Proto-Arapaho-Atsina,Arapaho
377,n,ɔ, / _\ipa{j},Proto-Arapaho-Atsina,Arapaho
378,j,ɔ, / C_,Proto-Arapaho-Atsina,Arapaho
379,j,ɔ," / \{\ipa{S,T}\}",Proto-Arapaho-Atsina,Gros Ventre
380,i,u, / \ipa{o(:)}_,Proto-Arapaho-Atsina,Gros Ventre
381,ʃ,θ, / _\ipa{o(:)},Proto-Arapaho-Atsina,Gros Ventre
382,θ,t, / _\ipa{o(:)},Proto-Arapaho-Atsina,Gros Ventre
383,m,w, / _\ipa{o(:)},Proto-Arapaho-Atsina,Gros Ventre
