cognate_set	Piratapuyo	Barasano	Desano	Koreguahe	Siona	Kubeo	Sekoya	Wanano	Tanimuka	Tuyuka	Tukano	Maihiki	Karapan	Kueretu	Yupua	Prototucanoan
36-elevatedstructureshelvesroofetc-35	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1
79-manioc-36	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1
140-woodpecker-37	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1
119-tobite-38	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1
119-tobite-142	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
17-capybara-39	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1
133-wait-40	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1
77-macaw-41	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1
71-know-42	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1
94-path-43	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
3-antsp-44	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1
63-hummingbird-45	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1
142-youall-46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
123-tobacco-47	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1
82-mosquito-48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
22-charcoal2-49	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1
16-buritipalm-50	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1
21-charcoal1-51	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1
111-stop-52	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1
96-penis-53	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1
96-penis-143	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
120-tocry-54	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1
7-bat-55	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
135-water-56	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
98-plant-57	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
74-larva-58	0	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1
108-spider-59	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1
115-termite-60	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1
97-people-61	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
28-dance-62	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1
45-fishingnet-63	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1
65-ingafruitsp-64	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1
32-duck-65	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
25-chili-66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
109-squeeze-67	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1
109-squeeze-144	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
35-elder-68	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	1
136-white-69	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
122-toadsp-70	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1
14-break-71	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1
132-urucumachiote-72	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1
132-urucumachiote-148	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4-aracufish-73	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1
113-swell-74	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1
40-father-75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
8-big-76	1	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1
5-armadillo-77	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1
46-float-78	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1
42-fire-79	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
37-end-80	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1
124-tocandiraant-81	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1
92-palmweevil-82	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1
56-handpalm-83	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1
116-thorn-84	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1
12-blow-85	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1
90-paca-86	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1
105-rub-87	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1
81-monkeysp-88	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1
121-tosmokemeat-89	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1
6-back-90	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1
100-pot-91	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
102-red-92	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1
104-root-93	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1
58-heavy-94	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
137-wife-95	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1
27-cut-96	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1
27-cut-145	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
129-trairafish-97	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	1
139-woman-98	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
31-dove-99	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1
51-gather-100	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1
87-navel-101	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54-grass-102	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
80-monkey-103	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
24-chew-104	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1
128-toucan-105	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1
125-tongue-106	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1
9-black-107	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1
34-egg-108	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1
39-face-109	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1
103-river-110	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
11-blood-111	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
72-lake-112	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1
57-head-113	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
83-mouth1-114	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1
30-distant-115	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
70-kingfisher-116	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1
95-peccary-117	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
99-poison-118	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1
55-green-119	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1
26-cold-120	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
130-tree-121	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
66-insectsp-122	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	1
49-fruitsp-123	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1
112-stump-124	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1
91-pacufish-125	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1
15-breast-126	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
134-wasp-127	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
44-fishwithanet-128	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1
23-cheek-129	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1
86-name-130	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
85-mythicalbeing-131	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1
43-fish-132	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
114-tapir-133	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1
93-parrot-134	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1
50-garden-135	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1
10-blackink-136	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
68-jenipapo-136	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
138-wind-137	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1
62-house-138	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
118-thunder-139	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1
2-agouti-140	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1
110-stone-141	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1
